replicates,gene,Fold_change,mutants
1st,rpoA,1.204488962,2743_WT_T0
1st,rpoA,0.897029531,2743_WT_T0
1st,rpoA,0.92553353,2743_WT_T0
1st,comEA,0.97261061,2743_WT_T0
1st,comEA,0.967171248,2743_WT_T0
1st,comEA,1.063059615,2743_WT_T0
1st,rpoA,0.984020901,2743_WT_20
1st,rpoA,0.990188428,2743_WT_20
1st,rpoA,1.026305561,2743_WT_20
1st,comEA,1.771252604,2743_WT_20
1st,comEA,1.949443425,2743_WT_20
1st,comEA,1.862565529,2743_WT_20
1st,rpoA,0.966037731,2743_WT_60
1st,rpoA,1.029655655,2743_WT_60
1st,rpoA,1.005343503,2743_WT_60
1st,comEA,0.894724661,2743_WT_60
1st,comEA,0.965779777,2743_WT_60
1st,comEA,0.987633744,2743_WT_60
1st,rpoA,0.927243286,2743_WT_120
1st,rpoA,0.97228277,2743_WT_120
1st,rpoA,1.109211305,2743_WT_120
1st,comEA,0.991537721,2743_WT_120
1st,comEA,0.929504115,2743_WT_120
1st,comEA,1.411742119,2743_WT_120
1st,rpoA,0.992428212,2743_WT_20_CSP
1st,rpoA,0.986212834,2743_WT_20_CSP
1st,rpoA,1.021710724,2743_WT_20_CSP
1st,comEA,3.284247427,2743_WT_20_CSP
1st,comEA,3.343320146,2743_WT_20_CSP
1st,comEA,3.400019414,2743_WT_20_CSP
1st,rpoA,0.959931789,2743_WT_60_CSP
1st,rpoA,1.02691361,2743_WT_60_CSP
1st,rpoA,1.014438483,2743_WT_60_CSP
1st,comEA,4.145417726,2743_WT_60_CSP
1st,comEA,3.537909042,2743_WT_60_CSP
1st,rpoA,0.985553308,2743_WT_120_CSP
1st,rpoA,1.020107262,2743_WT_120_CSP
1st,rpoA,0.994659912,2743_WT_120_CSP
1st,comEA,3.872999074,2743_WT_120_CSP
1st,comEA,3.433210181,2743_WT_120_CSP
1st,comEA,3.932541417,2743_WT_120_CSP
2nd,rpoA,0.981717022,2743_WT_T0
2nd,rpoA,0.971459159,2743_WT_T0
2nd,rpoA,1.048544424,2743_WT_T0
2nd,comEA,3.452682848,2743_WT_T0
2nd,comEA,3.169424299,2743_WT_T0
2nd,comEA,3.544383769,2743_WT_T0
2nd,rpoA,1.045193671,2743_WT_20
2nd,rpoA,0.932862532,2743_WT_20
2nd,rpoA,1.0256138,2743_WT_20
2nd,comEA,7.594251008,2743_WT_20
2nd,comEA,7.718846343,2743_WT_20
2nd,comEA,7.861309186,2743_WT_20
2nd,rpoA,1.01651404,2743_WT_60
2nd,rpoA,1.023381649,2743_WT_60
2nd,rpoA,0.961276707,2743_WT_60
2nd,comEA,3.00423566,2743_WT_60
2nd,comEA,3.272402111,2743_WT_60
2nd,comEA,3.229786218,2743_WT_60
2nd,rpoA,1.001029102,2743_WT_120
2nd,rpoA,0.98473538,2743_WT_120
2nd,rpoA,1.01445726,2743_WT_120
2nd,comEA,1.922151859,2743_WT_120
2nd,comEA,2.054503444,2743_WT_120
2nd,comEA,2.041890242,2743_WT_120
2nd,rpoA,0.993060828,2743_WT_20_CSP
2nd,rpoA,0.986310627,2743_WT_20_CSP
2nd,rpoA,1.020964018,2743_WT_20_CSP
2nd,comEA,13.82704613,2743_WT_20_CSP
2nd,comEA,13.95196842,2743_WT_20_CSP
2nd,comEA,13.4660698,2743_WT_20_CSP
2nd,rpoA,1.006720103,2743_WT_60_CSP
2nd,rpoA,1.004551649,2743_WT_60_CSP
2nd,rpoA,0.98882659,2743_WT_60_CSP
2nd,comEA,13.22030688,2743_WT_60_CSP
2nd,comEA,13.09021415,2743_WT_60_CSP
2nd,comEA,13.74088611,2743_WT_60_CSP
2nd,rpoA,0.978991325,2743_WT_120_CSP
