replicates,gene,Fold_change,mutants
1st,rpoA,1.046133733,2743_prophage_T0
1st,rpoA,0.964375008,2743_prophage_T0
1st,rpoA,0.991212675,2743_prophage_T0
1st,comEA,2.414232272,2743_prophage_T0
1st,comEA,2.096822704,2743_prophage_T0
1st,comEA,2.074488063,2743_prophage_T0
1st,rpoA,1.04218839,2743_prophage_T20
1st,rpoA,0.955301891,2743_prophage_T20
1st,rpoA,1.004413537,2743_prophage_T20
1st,comEA,1.783768649,2743_prophage_T20
1st,comEA,2.001034129,2743_prophage_T20
1st,comEA,2.080346339,2743_prophage_T20
1st,rpoA,1.123927194,2743_prophage_T20_CSP
1st,rpoA,0.830855693,2743_prophage_T20_CSP
1st,rpoA,1.070867273,2743_prophage_T20_CSP
1st,comEA,100.9566948,2743_prophage_T20_CSP
1st,comEA,100.588584,2743_prophage_T20_CSP
1st,comEA,91.92106502,2743_prophage_T20_CSP
1st,rpoA,1.004762838,2743_prophage_T60
1st,rpoA,0.975695131,2743_prophage_T60
1st,rpoA,1.020053317,2743_prophage_T60
1st,comEA,2.478850736,2743_prophage_T60
1st,comEA,2.349135694,2743_prophage_T60
1st,comEA,2.034845854,2743_prophage_T60
1st,rpoA,0.937766696,2743_prophage_T60_CSP
1st,rpoA,1.015381759,2743_prophage_T60_CSP
1st,rpoA,1.050207859,2743_prophage_T60_CSP
1st,comEA,114.1314643,2743_prophage_T60_CSP
1st,comEA,120.4632171,2743_prophage_T60_CSP
1st,comEA,124.45203,2743_prophage_T60_CSP
1st,rpoA,1.014421048,2743_prophage_T120
1st,rpoA,1.029391601,2743_prophage_T120
1st,rpoA,0.95763873,2743_prophage_T120
1st,comEA,6.485054771,2743_prophage_T120
1st,comEA,6.778666936,2743_prophage_T120
1st,comEA,7.214735107,2743_prophage_T120
1st,rpoA,0.991895657,2743_prophage_T120_CSP
1st,rpoA,0.98407294,2743_prophage_T120_CSP
1st,rpoA,1.024487636,2743_prophage_T120_CSP
1st,comEA,87.018755,2743_prophage_T120_CSP
1st,comEA,85.43298847,2743_prophage_T120_CSP
1st,comEA,85.00418554,2743_prophage_T120_CSP
2nd,rpoA,0.934203186,2743_prophage_T0
2nd,rpoA,1.00113929,2743_prophage_T0
2nd,rpoA,1.069215295,2743_prophage_T0
2nd,comEA,0.151507644,2743_prophage_T0
2nd,comEA,0.163996778,2743_prophage_T0
2nd,comEA,0.135970812,2743_prophage_T0
2nd,rpoA,0.980577032,2743_prophage_T20
2nd,rpoA,1.029639533,2743_prophage_T20
2nd,rpoA,0.990451798,2743_prophage_T20
2nd,comEA,0.443248432,2743_prophage_T20
2nd,comEA,0.408678991,2743_prophage_T20
2nd,comEA,0.424968241,2743_prophage_T20
2nd,rpoA,0.940478114,2743_prophage_T60
2nd,rpoA,1.034311972,2743_prophage_T60
2nd,rpoA,1.02801503,2743_prophage_T60
2nd,comEA,1.55372624,2743_prophage_T60
2nd,comEA,1.531563487,2743_prophage_T60
2nd,comEA,1.549602899,2743_prophage_T60
2nd,rpoA,0.988113299,2743_prophage_T120
2nd,rpoA,0.974545417,2743_prophage_T120
2nd,rpoA,1.038462722,2743_prophage_T120
2nd,comEA,6.210168688,2743_prophage_T120
2nd,comEA,4.590000479,2743_prophage_T120
2nd,comEA,6.262150972,2743_prophage_T120
2nd,rpoA,1.039023883,2743_prophage_T20_CSP
2nd,rpoA,0.973092678,2743_prophage_T20_CSP
2nd,rpoA,0.989055141,2743_prophage_T20_CSP
2nd,comEA,89.90416331,2743_prophage_T20_CSP
2nd,comEA,86.65915624,2743_prophage_T20_CSP
2nd,comEA,86.13874531,2743_prophage_T20_CSP
2nd,rpoA,0.979132095,2743_prophage_T160_CSP
2nd,rpoA,1.019458432,2743_prophage_T160_CSP
2nd,rpoA,1.001820502,2743_prophage_T160_CSP
2nd,comEA,3.342386543,2743_prophage_T160_CSP
2nd,comEA,3.653983518,2743_prophage_T160_CSP
2nd,comEA,3.555529198,2743_prophage_T160_CSP
2nd,rpoA,0.963487904,2743_prophage_T120_CSP
2nd,rpoA,1.036303598,2743_prophage_T120_CSP
2nd,rpoA,1.001534647,2743_prophage_T120_CSP
2nd,comEA,2.616783016,2743_prophage_T120_CSP
2nd,comEA,2.846319984,2743_prophage_T120_CSP
2nd,comEA,2.577087525,2743_prophage_T120_CSP
3rd,rpoA,0.958810876,2743_prophage_T0
3rd,rpoA,1.029574321,2743_prophage_T0
3rd,rpoA,1.01300211,2743_prophage_T0
3rd,comEA,1.760693162,2743_prophage_T0
3rd,comEA,1.927412391,2743_prophage_T0
3rd,comEA,2.022578605,2743_prophage_T0
3rd,rpoA,0.989065294,2743_prophage_T20
3rd,rpoA,1.027505135,2743_prophage_T20
3rd,rpoA,0.983990421,2743_prophage_T20
3rd,comEA,0.888937319,2743_prophage_T20
3rd,comEA,1.01036228,2743_prophage_T20
3rd,comEA,0.798707114,2743_prophage_T20
3rd,rpoA,0.984891797,2743_prophage_T20_CSP
3rd,rpoA,1.010626217,2743_prophage_T20_CSP
3rd,rpoA,1.004666052,2743_prophage_T20_CSP
3rd,comEA,194.3856271,2743_prophage_T20_CSP
3rd,comEA,207.8828858,2743_prophage_T20_CSP
3rd,comEA,201.7069165,2743_prophage_T20_CSP
