replicates,gene,Fold_change,mutants
2nd,rpoA,1.027616010163280,2743_prophage_T0
2nd,rpoA,0.976878963905090,2743_prophage_T0
2nd,rpoA,0.996160402173395,2743_prophage_T0
2nd,dprA,0.061060262937195,2743_prophage_T0
2nd,dprA,0.056267671054823,2743_prophage_T0
2nd,dprA,0.063509300810173,2743_prophage_T0
2nd,rpoA,0.977860482848234,2743_prophage_T20
2nd,rpoA,1.014042628756920,2743_prophage_T20
2nd,rpoA,1.008482213342860,2743_prophage_T20
2nd,dprA,0.110668574804267,2743_prophage_T20
2nd,dprA,0.096145823331548,2743_prophage_T20
2nd,rpoA,0.963760643924044,2743_prophage_T60
2nd,rpoA,1.019604313629020,2743_prophage_T60
2nd,rpoA,1.017655634231620,2743_prophage_T60
2nd,dprA,1.877016732477370,2743_prophage_T60
2nd,dprA,1.757810802887520,2743_prophage_T60
2nd,dprA,2.500657639151530,2743_prophage_T60
2nd,rpoA,1.001026617292510,2743_prophage_T120
2nd,rpoA,1.008660006786710,2743_prophage_T120
2nd,rpoA,0.990400685194788,2743_prophage_T120
2nd,dprA,3.242780844701520,2743_prophage_T120
2nd,dprA,3.130011566693330,2743_prophage_T120
2nd,dprA,3.712672851950980,2743_prophage_T120
2nd,rpoA,0.949917769834727,2743_prophage_T20_CSP
2nd,rpoA,0.881325554330357,2743_prophage_T20_CSP
2nd,rpoA,1.194476110327140,2743_prophage_T20_CSP
2nd,dprA,222.175348497958000,2743_prophage_T20_CSP
2nd,dprA,250.434942696497000,2743_prophage_T20_CSP
2nd,dprA,226.297167443041000,2743_prophage_T20_CSP
2nd,rpoA,0.956722670912254,2743_prophage_T60_CSP
2nd,rpoA,0.996447446141729,2743_prophage_T60_CSP
2nd,rpoA,1.048964691447160,2743_prophage_T60_CSP
2nd,dprA,4.495709417348230,2743_prophage_T60_CSP
2nd,dprA,4.639527929065010,2743_prophage_T60_CSP
2nd,dprA,4.662266245970390,2743_prophage_T60_CSP
2nd,rpoA,1.018176194916380,2743_prophage_T120_CSP
2nd,rpoA,0.973021913670876,2743_prophage_T120_CSP
2nd,rpoA,1.009374595915950,2743_prophage_T120_CSP
2nd,dprA,3.626455580275340,2743_prophage_T120_CSP
2nd,dprA,3.597056030576790,2743_prophage_T120_CSP
2nd,dprA,3.034516674502040,2743_prophage_T120_CSP
3rd,rpoA,0.958810875648511,2743_prophage_T0
3rd,rpoA,1.029574320649750,2743_prophage_T0
3rd,rpoA,1.013002109686660,2743_prophage_T0
3rd,dprA,0.064796412129813,2743_prophage_T0
3rd,dprA,0.048928168807073,2743_prophage_T0
3rd,dprA,0.069405789271528,2743_prophage_T0
3rd,rpoA,0.989065293778676,2743_prophage_T20
3rd,rpoA,1.027505135280690,2743_prophage_T20
3rd,rpoA,0.983990420879287,2743_prophage_T20
3rd,dprA,0.066960674722874,2743_prophage_T20
3rd,dprA,0.063782550235694,2743_prophage_T20
3rd,dprA,0.094333572832103,2743_prophage_T20
3rd,rpoA,0.984891796627662,2743_prophage_T20_CSP
3rd,rpoA,1.010626217076680,2743_prophage_T20_CSP
3rd,rpoA,1.004666051838690,2743_prophage_T20_CSP
3rd,dprA,335.629203331590000,2743_prophage_T20_CSP
3rd,dprA,320.583130803892000,2743_prophage_T20_CSP
3rd,dprA,319.399855099174000,2743_prophage_T20_CSP
3rd,rpoA,1.002651837793250,2743_prophage_T60
3rd,rpoA,1.023713404342020,2743_prophage_T60
3rd,rpoA,0.974255540736828,2743_prophage_T60
3rd,dprA,0.101653581138830,2743_prophage_T60
3rd,dprA,0.109606993924195,2743_prophage_T60
3rd,dprA,0.092756599399535,2743_prophage_T60
3rd,rpoA,0.991995432750397,2743_prophage_T60_CSP
3rd,rpoA,1.013005903172480,2743_prophage_T60_CSP
3rd,rpoA,0.995126959000291,2743_prophage_T60_CSP
3rd,dprA,137.513547867502000,2743_prophage_T60_CSP
3rd,dprA,127.783250599169000,2743_prophage_T60_CSP
3rd,dprA,108.670533446338000,2743_prophage_T60_CSP
3rd,rpoA,1.036720450052590,2743_prophage_T120
3rd,rpoA,0.985505220873001,2743_prophage_T120
3rd,rpoA,0.978767557433518,2743_prophage_T120
3rd,dprA,0.012825836993686,2743_prophage_T120
3rd,dprA,0.012387228766750,2743_prophage_T120
3rd,dprA,0.005294427343952,2743_prophage_T120
3rd,rpoA,1.045629039617410,2743_prophage_T120_CSP
3rd,rpoA,0.969193663310290,2743_prophage_T120_CSP
3rd,rpoA,0.986760604276765,2743_prophage_T120_CSP
3rd,dprA,13.956027069958700,2743_prophage_T120_CSP
3rd,dprA,11.998146855138800,2743_prophage_T120_CSP
3rd,dprA,11.272724468687900,2743_prophage_T120_CSP
4th,rpoA,0.854116303611414,2743_prophage_T0
4th,rpoA,0.852127834560882,2743_prophage_T0
4th,rpoA,1.373970250051700,2743_prophage_T0
4th,dprA,0.608340511343462,2743_prophage_T0
4th,dprA,0.579106398514196,2743_prophage_T0
4th,dprA,1.007151167968610,2743_prophage_T0
4th,rpoA,0.816804801703276,2743_prophage_T20
4th,rpoA,1.069346500426880,2743_prophage_T20
4th,rpoA,1.144888992566510,2743_prophage_T20
4th,dprA,0.136596170411469,2743_prophage_T20
4th,dprA,0.112438213006358,2743_prophage_T20
4th,dprA,0.118068196613551,2743_prophage_T20
4th,rpoA,0.884860986837798,2743_prophage_T20_CSP
4th,rpoA,1.061143033732190,2743_prophage_T20_CSP
4th,rpoA,1.065005238951430,2743_prophage_T20_CSP
4th,dprA,73.223412287702500,2743_prophage_T20_CSP
4th,dprA,75.730361977354500,2743_prophage_T20_CSP
4th,dprA,69.197141712315700,2743_prophage_T20_CSP
4th,rpoA,0.966863764997851,2743_prophage_T60
4th,rpoA,0.995721024544112,2743_prophage_T60
4th,rpoA,1.038719915325150,2743_prophage_T60
4th,dprA,0.289324248345370,2743_prophage_T60
4th,dprA,0.128013302185029,2743_prophage_T60
4th,dprA,0.124511540390633,2743_prophage_T60
4th,rpoA,1.000702060557150,2743_prophage_T60_CSP
4th,rpoA,0.980414590001208,2743_prophage_T60_CSP
4th,rpoA,1.019259098489720,2743_prophage_T60_CSP
4th,dprA,1.836565114795150,2743_prophage_T60_CSP
4th,dprA,1.794703958554230,2743_prophage_T60_CSP
4th,dprA,1.996554590469540,2743_prophage_T60_CSP
4th,rpoA,0.926810677771702,2743_prophage_T120
4th,rpoA,1.034394283190910,2743_prophage_T120
4th,rpoA,1.043092683225620,2743_prophage_T120
4th,dprA,11.835026578491600,2743_prophage_T120
4th,dprA,12.145133217239300,2743_prophage_T120
4th,dprA,11.174982493009200,2743_prophage_T120
4th,rpoA,0.978714940359143,2743_prophage_T120_CSP
4th,rpoA,0.953267417849228,2743_prophage_T120_CSP
4th,rpoA,1.071839537222590,2743_prophage_T120_CSP
4th,dprA,19.777221882456600,2743_prophage_T120_CSP
4th,dprA,20.098588395093400,2743_prophage_T120_CSP
4th,dprA,20.465993032627000,2743_prophage_T120_CSP
