replicates,gene,Fold_change,mutants
3rd,RpoA,0.800885789,2743_WT_T0
3rd,RpoA,1.328455576,2743_WT_T0
3rd,RpoA,0.939897844,2743_WT_T0
3rd,recA,3.041286827,2743_WT_T0
3rd,recA,3.239123076,2743_WT_T0
3rd,recA,3.206536622,2743_WT_T0
3rd,RpoA,1.091127853,2743_WT_20
3rd,RpoA,0.971202325,2743_WT_20
3rd,RpoA,0.943659287,2743_WT_20
3rd,recA,3.754944172,2743_WT_20
3rd,recA,3.594582356,2743_WT_20
3rd,recA,3.810635702,2743_WT_20
3rd,RpoA,0.956068827,2743_WT_60
3rd,RpoA,1.027306048,2743_WT_60
3rd,RpoA,1.018146852,2743_WT_60
3rd,recA,2.625212188,2743_WT_60
3rd,recA,2.583871651,2743_WT_60
3rd,recA,2.524509698,2743_WT_60
3rd,RpoA,0.911646634,2743_WT_120
3rd,RpoA,1.041845362,2743_WT_120
3rd,RpoA,1.052860369,2743_WT_120
3rd,recA,2.607684808,2743_WT_120
3rd,recA,2.380495047,2743_WT_120
3rd,recA,2.407689859,2743_WT_120
3rd,RpoA,1.001480495,2743_WT_20_CSP
3rd,RpoA,1.033753072,2743_WT_20_CSP
3rd,RpoA,0.965921515,2743_WT_20_CSP
3rd,recA,4.157890753,2743_WT_20_CSP
3rd,recA,4.079913655,2743_WT_20_CSP
3rd,recA,4.043880348,2743_WT_20_CSP
3rd,RpoA,1.001487115,2743_WT_60_CSP
3rd,RpoA,0.98169366,2743_WT_60_CSP
3rd,RpoA,1.017132425,2743_WT_60_CSP
3rd,recA,3.851356776,2743_WT_60_CSP
3rd,recA,3.707396776,2743_WT_60_CSP
3rd,recA,3.884703788,2743_WT_60_CSP
3rd,RpoA,0.913738959,2743_WT_120_CSP
3rd,RpoA,1.061082592,2743_WT_120_CSP
3rd,RpoA,1.031402296,2743_WT_120_CSP
3rd,recA,2.81762771,2743_WT_120_CSP
3rd,recA,3.051827495,2743_WT_120_CSP
3rd,recA,3.303375026,2743_WT_120_CSP
2nd,rpoA,1.032329954,2743_WT_T0
2nd,rpoA,0.913278815,2743_WT_T0
2nd,rpoA,1.060664632,2743_WT_T0
2nd,recA,0.4560834,2743_WT_T0
2nd,recA,0.491997087,2743_WT_T0
2nd,recA,0.433195959,2743_WT_T0
2nd,rpoA,0.995157112,2743_WT_20
2nd,rpoA,0.97993921,2743_WT_20
2nd,rpoA,1.025436188,2743_WT_20
2nd,recA,0.864400011,2743_WT_20
2nd,recA,0.907194997,2743_WT_20
2nd,recA,0.87387394,2743_WT_20
2nd,rpoA,0.981983128,2743_WT_60
2nd,rpoA,1.003938259,2743_WT_60
2nd,rpoA,1.014352653,2743_WT_60
2nd,recA,0.482155921,2743_WT_60
2nd,recA,0.467494022,2743_WT_60
2nd,recA,0.460787795,2743_WT_60
2nd,rpoA,1.00058585,2743_WT_120
2nd,rpoA,0.985105187,2743_WT_120
2nd,rpoA,1.014527004,2743_WT_120
2nd,recA,0.432654508,2743_WT_120
2nd,recA,0.444980704,2743_WT_120
2nd,recA,0.460705561,2743_WT_120
2nd,rpoA,0.995692734,2743_WT_20_CSP
2nd,rpoA,1.002271253,2743_WT_20_CSP
2nd,rpoA,1.002044691,2743_WT_20_CSP
2nd,recA,0.5009584,2743_WT_20_CSP
2nd,recA,0.681044383,2743_WT_20_CSP
2nd,recA,0.705653147,2743_WT_20_CSP
2nd,rpoA,1.033706605,2743_WT_60_CSP
2nd,rpoA,0.999734299,2743_WT_60_CSP
2nd,rpoA,0.96764831,2743_WT_60_CSP
2nd,recA,0.863747719,2743_WT_60_CSP
2nd,recA,0.836225129,2743_WT_60_CSP
2nd,recA,0.854084291,2743_WT_60_CSP
2nd,rpoA,1.009729896,2743_WT_120_CSP
2nd,rpoA,1.010814447,2743_WT_120_CSP
2nd,rpoA,0.979768212,2743_WT_120_CSP
2nd,recA,0.725266851,2743_WT_120_CSP
2nd,recA,0.716286652,2743_WT_120_CSP
2nd,recA,0.706809988,2743_WT_120_CSP
1st,rpoA,1.019597683,2743_WT_T0
1st,rpoA,0.955282936,2743_WT_T0
1st,rpoA,1.025978145,2743_WT_T0
1st,recA,0.821310701,2743_WT_T0
1st,recA,0.85027416,2743_WT_T0
1st,recA,1.431968741,2743_WT_T0
1st,rpoA,1.028113827,2743_WT_20
1st,rpoA,1.002776436,2743_WT_20
1st,rpoA,0.969289817,2743_WT_20
1st,recA,1.295940965,2743_WT_20
1st,recA,1.139973273,2743_WT_20
1st,recA,1.245737416,2743_WT_20
1st,rpoA,0.973329374,2743_WT_60
1st,rpoA,1.019597683,2743_WT_60
1st,rpoA,1.00765376,2743_WT_60
1st,recA,0.795536484,2743_WT_60
1st,recA,0.798298386,2743_WT_60
1st,recA,0.77916458,2743_WT_60
1st,rpoA,0.995849753,2743_WT_120
1st,rpoA,1.00695555,2743_WT_120
1st,rpoA,0.997231251,2743_WT_120
1st,recA,0.742261785,2743_WT_120
1st,recA,0.725476104,2743_WT_120
1st,recA,0.748980467,2743_WT_120
1st,rpoA,1.01395948,2743_WT_20_CSP
1st,rpoA,0.964598185,2743_WT_20_CSP
1st,rpoA,1.021720083,2743_WT_20_CSP
1st,recA,1.029540083,2743_WT_20_CSP
1st,recA,1.153485605,2743_WT_20_CSP
1st,recA,1.118061851,2743_WT_20_CSP
1st,rpoA,0.984866443,2743_WT_60_CSP
1st,rpoA,0.981459064,2743_WT_60_CSP
1st,rpoA,1.034547582,2743_WT_60_CSP
1st,recA,0.984866443,2743_WT_60_CSP
1st,recA,0.949342121,2743_WT_60_CSP
1st,recA,1.062895674,2743_WT_60_CSP
1st,rpoA,0.963261894,2743_WT_120_CSP
1st,rpoA,1.011853201,2743_WT_120_CSP
1st,rpoA,1.025978145,2743_WT_120_CSP
1st,recA,1.171210181,2743_WT_120_CSP
1st,recA,1.197478705,2743_WT_120_CSP
1st,recA,1.183451022,2743_WT_120_CSP
