replicates,gene,Fold_change,mutants
1st,rpoA,1.046133733,2743_prophage_T0
1st,rpoA,0.964375008,2743_prophage_T0
1st,rpoA,0.991212675,2743_prophage_T0
1st,recA,0.548723178,2743_prophage_T0
1st,recA,0.501751805,2743_prophage_T0
1st,recA,0.513504635,2743_prophage_T0
1st,rpoA,1.04218839,2743_prophage_T20
1st,rpoA,0.955301891,2743_prophage_T20
1st,rpoA,1.004413537,2743_prophage_T20
1st,recA,0.474018265,2743_prophage_T20
1st,recA,0.442071712,2743_prophage_T20
1st,recA,0.404556498,2743_prophage_T20
1st,rpoA,1.123927194,2743_prophage_T20_CSP
1st,rpoA,0.830855693,2743_prophage_T20_CSP
1st,rpoA,1.070867273,2743_prophage_T20_CSP
1st,recA,6.353392351,2743_prophage_T20_CSP
1st,recA,7.64329882,2743_prophage_T20_CSP
1st,recA,8.350231132,2743_prophage_T20_CSP
1st,rpoA,1.004762838,2743_prophage_T60
1st,rpoA,0.975695131,2743_prophage_T60
1st,rpoA,1.020053317,2743_prophage_T60
1st,recA,0.56081798,2743_prophage_T60
1st,recA,0.535926164,2743_prophage_T60
1st,recA,0.494973435,2743_prophage_T60
1st,rpoA,0.937766696,2743_prophage_T60_CSP
1st,rpoA,1.015381759,2743_prophage_T60_CSP
1st,rpoA,1.050207859,2743_prophage_T60_CSP
1st,recA,8.634668053,2743_prophage_T60_CSP
1st,recA,8.583506811,2743_prophage_T60_CSP
1st,recA,8.075847215,2743_prophage_T60_CSP
1st,rpoA,1.014421048,2743_prophage_T120
1st,rpoA,1.029391601,2743_prophage_T120
1st,rpoA,0.95763873,2743_prophage_T120
1st,recA,0.987689182,2743_prophage_T120
1st,recA,0.793326132,2743_prophage_T120
1st,recA,0.861391694,2743_prophage_T120
1st,rpoA,0.991895657,2743_prophage_T120_CSP
1st,rpoA,0.98407294,2743_prophage_T120_CSP
1st,rpoA,1.024487636,2743_prophage_T120_CSP
1st,recA,5.660037035,2743_prophage_T120_CSP
1st,recA,7.195079006,2743_prophage_T120_CSP
1st,recA,5.965968637,2743_prophage_T120_CSP
2nd,rpoA,0.934203186,2743_prophage_T0
2nd,rpoA,1.00113929,2743_prophage_T0
2nd,rpoA,1.069215295,2743_prophage_T0
2nd,recA,0.109261144,2743_prophage_T0
2nd,recA,0.109714358,2743_prophage_T0
2nd,recA,0.106831168,2743_prophage_T0
2nd,rpoA,0.980577032,2743_prophage_T20
2nd,rpoA,1.029639533,2743_prophage_T20
2nd,rpoA,0.990451798,2743_prophage_T20
2nd,recA,0.101222082,2743_prophage_T20
2nd,recA,0.103869404,2743_prophage_T20
2nd,rpoA,0.940478114,2743_prophage_T60
2nd,rpoA,1.034311972,2743_prophage_T60
2nd,rpoA,1.02801503,2743_prophage_T60
2nd,recA,0.158909766,2743_prophage_T60
2nd,recA,0.13568655,2743_prophage_T60
2nd,recA,0.152005622,2743_prophage_T60
2nd,rpoA,0.988113299,2743_prophage_T120
2nd,rpoA,0.974545417,2743_prophage_T120
2nd,rpoA,1.038462722,2743_prophage_T120
2nd,recA,0.515766358,2743_prophage_T120
2nd,recA,0.518664966,2743_prophage_T120
2nd,recA,0.524524319,2743_prophage_T120
2nd,rpoA,1.039023883,2743_prophage_T20_CSP
2nd,rpoA,0.973092678,2743_prophage_T20_CSP
2nd,rpoA,0.989055141,2743_prophage_T20_CSP
2nd,recA,4.342199071,2743_prophage_T20_CSP
2nd,recA,4.575720202,2743_prophage_T20_CSP
2nd,recA,4.633999488,2743_prophage_T20_CSP
2nd,rpoA,0.979132095,2743_prophage_T60_CSP
2nd,rpoA,1.019458432,2743_prophage_T60_CSP
2nd,rpoA,1.001820502,2743_prophage_T60_CSP
2nd,recA,0.373333632,2743_prophage_T60_CSP
2nd,recA,0.391504514,2743_prophage_T60_CSP
2nd,recA,0.376202394,2743_prophage_T60_CSP
2nd,rpoA,0.963487904,2743_prophage_T120_CSP
2nd,rpoA,1.036303598,2743_prophage_T120_CSP
2nd,rpoA,1.001534647,2743_prophage_T120_CSP
2nd,recA,0.551195193,2743_prophage_T120_CSP
2nd,recA,0.531319984,2743_prophage_T120_CSP
2nd,recA,0.548049573,2743_prophage_T120_CSP
3rd,rpoA,0.958810876,2743_prophage_T0
3rd,rpoA,1.029574321,2743_prophage_T0
3rd,rpoA,1.01300211,2743_prophage_T0
3rd,recA,0.197194263,2743_prophage_T0
3rd,recA,0.186813094,2743_prophage_T0
3rd,recA,0.184331515,2743_prophage_T0
3rd,rpoA,0.989065294,2743_prophage_T20
3rd,rpoA,1.027505135,2743_prophage_T20
3rd,rpoA,0.983990421,2743_prophage_T20
3rd,recA,0.215917966,2743_prophage_T20
3rd,recA,0.208460569,2743_prophage_T20
3rd,recA,0.214129588,2743_prophage_T20
3rd,rpoA,0.984891797,2743_prophage_T20_CSP
3rd,rpoA,1.010626217,2743_prophage_T20_CSP
3rd,rpoA,1.004666052,2743_prophage_T20_CSP
3rd,recA,11.82202451,2743_prophage_T20_CSP
3rd,recA,10.66553026,2743_prophage_T20_CSP
3rd,recA,10.96744486,2743_prophage_T20_CSP
3rd,rpoA,1.002651838,2743_prophage_T60
3rd,rpoA,1.023713404,2743_prophage_T60
