mutants,ADbyAB
2743_zncat,0.003643624
2743_zncat,0.003960494
2743_zncat,0.003010502
RMV4_spaL,0.006359139
RMV4_spaL,0.006415818
RMV4_spaL,0.006223374
RMV4_zncat,0.020657447
RMV4_zncat,0.019312674
RMV4_zncat,0.01888195
RMV4_int,0.000482989
RMV4_int,0.00043952
RMV4_int,0.000474267
2743_int,6.17231E-05
2743_int,5.95818E-05
2743_int,6.24646E-05
2743_lytA,0.001237529
2743_lytA,0.00091867
2743_lytA,0.001138182
2743_immA_recA,1.39843E-05
2743_immA_recA,1.78434E-05
2743_immA_recA,1.5817E-05
