mutants,gene,fold_change
R6x,short,0.480065529
R6x,short,0.493888039
R6x,short,0.454744679
R6x,Long,0.387025059
R6x,Long,0.433841057
R6x,Long,0.45828991
R6x,Long_modified,0.022633404
R6x,Long_modified,0.034089046
R6x_modified,short,0.974337769
R6x_modified,short,1.008398507
R6x_modified,short,1.017791553
R6x_modified,Long,0.96911422
R6x_modified,Long,0.997671899
R6x_modified,Long,1.034279385
R6x_modified,Long_modified,0.673372959
R6x_modified,Long_modified,1.199364332
R6x_modified,Long_modified,1.238210114
