mutants,ratio
RMV4_T0,0.016963922
RMV4_T0,0.016861459
RMV4_T0,0.016741983
RMV4_T20,0.014234506
RMV4_T20,0.013126134
RMV4_T20,0.013086308
RMV4_T60,0.021212381
RMV4_T60,0.021207164
RMV4_T60,0.021921612
RMV4_T120,0.021583585
RMV4_T120,0.020416376
RMV4_T120,0.018684558
RMV4_T20_CSP,0.015523407
RMV4_T20_CSP,0.015272441
RMV4_T20_CSP,0.016171746
RMV4_T60_CSP,0.048262678
RMV4_T60_CSP,0.047866577
RMV4_T60_CSP,0.047108807
RMV4_T120_CSP,0.063387526
RMV4_T120_CSP,0.06578725
RMV4_T120_CSP,0.06516191
RMV4_T20_MMC,0.01522065
RMV4_T20_MMC,0.015226979
RMV4_T20_MMC,0.015718667
RMV4_T60_MMC,0.056159634
RMV4_T60_MMC,0.056853693
RMV4_T60_MMC,0.056697429
RMV4_T120_MMC,0.330736008
RMV4_T120_MMC,0.326458681
RMV4_T120_MMC,0.318913279
RMV4_T0,0.017789368
RMV4_T0,0.019449892
RMV4_T0,0.01860798
RMV4_T20,0.015403445
RMV4_T20,0.01512798
RMV4_T20,0.0157
RMV4_T60,0.027987511
RMV4_T60,0.028513026
RMV4_T60,0.028081545
RMV4_T120,0.057260596
RMV4_T120,0.053189594
RMV4_T120,0.056456909
RMV4_T20_CSP,0.016037408
RMV4_T20_CSP,0.015211145
RMV4_T20_CSP,0.016247811
RMV4_T60_CSP,0.129253269
RMV4_T60_CSP,0.123831921
RMV4_T60_CSP,0.128491983
RMV4_T120_CSP,0.173149634
RMV4_T120_CSP,0.165999038
RMV4_T120_CSP,0.178333744
RMV4_T20_MMC,0.015734626
RMV4_T20_MMC,0.014801004
RMV4_T20_MMC,0.016139783
RMV4_T60_MMC,0.049644303
RMV4_T60_MMC,0.049985326
RMV4_T60_MMC,0.049413211
RMV4_T120_MMC,0.447304851
RMV4_T120_MMC,0.4698099
RMV4_T120_MMC,0.501955222
RMV4_T0,0.013416484
RMV4_T0,0.014524111
RMV4_T0,0.014853563
RMV4_T20,0.012652697
RMV4_T20,0.01237576
RMV4_T20,0.011644287
RMV4_T60,0.020167808
RMV4_T60,0.01998018
RMV4_T60,0.020511444
RMV4_T120,0.065217635
RMV4_T120,0.063704895
RMV4_T120,0.057404211
RMV4_T20_CSP,0.012468511
RMV4_T20_CSP,0.013700477
RMV4_T20_CSP,0.013628454
RMV4_T60_CSP,0.033241564
RMV4_T60_CSP,0.034064169
RMV4_T60_CSP,0.03556294
RMV4_T120_CSP,0.136547361
RMV4_T120_CSP,0.134449927
RMV4_T120_CSP,0.130929916
RMV4_T20_MMC,0.012527858
RMV4_T20_MMC,0.012618023
RMV4_T20_MMC,0.012099426
RMV4_T60_MMC,0.0413874
RMV4_T60_MMC,0.045568733
RMV4_T60_MMC,0.041709325
RMV4_T120_MMC,0.783528565
RMV4_T120_MMC,0.808066623
RMV4_T120_MMC,0.781485231
