mutants,ratio
RMV4_T0,0.006218734
RMV4_T0,0.00577672
RMV4_T0,0.006208595
RMV4_T20,0.007672192
RMV4_T20,0.007546681
RMV4_T20,0.007149152
RMV4_T60,0.018767973
RMV4_T60,0.018976062
RMV4_T60,0.019368292
RMV4_T120,0.024429961
RMV4_T120,0.023327415
RMV4_T120,0.022153906
RMV4_T20_CSP,0.009236213
RMV4_T20_CSP,0.009353818
RMV4_T20_CSP,0.009026538
RMV4_T60_CSP,0.036903549
RMV4_T60_CSP,0.03562501
RMV4_T60_CSP,0.035005612
RMV4_T120_CSP,0.063512434
RMV4_T120_CSP,0.06046299
RMV4_T120_CSP,0.056084657
RMV4_T20_MMC,0.010918739
RMV4_T20_MMC,0.008556333
RMV4_T20_MMC,0.008459505
RMV4_T60_MMC,0.038061096
RMV4_T60_MMC,0.037589801
RMV4_T60_MMC,0.034454297
RMV4_T120_MMC,0.110789743
RMV4_T120_MMC,0.107133114
RMV4_T120_MMC,0.103771245
RMV4_T0,0.033232733
RMV4_T0,0.034341849
RMV4_T0,0.030565655
RMV4_T20,0.03085801
RMV4_T20,0.023544053
RMV4_T20,0.02752453
RMV4_T60,0.042940637
RMV4_T60,0.042971023
RMV4_T60,0.041550469
RMV4_T120,0.064739089
RMV4_T120,0.056011592
RMV4_T120,0.05991679
RMV4_T20_CSP,0.029025993
RMV4_T20_CSP,0.02955621
RMV4_T20_CSP,0.031354855
RMV4_T60_CSP,0.087673061
RMV4_T60_CSP,0.085406594
RMV4_T60_CSP,0.085101617
RMV4_T120_CSP,0.168699603
RMV4_T120_CSP,0.169919074
RMV4_T120_CSP,0.170097383
RMV4_T20_MMC,0.031062276
RMV4_T20_MMC,0.030096166
RMV4_T20_MMC,0.027336498
RMV4_T60_MMC,0.068579282
RMV4_T60_MMC,0.062124642
RMV4_T60_MMC,0.063342867
RMV4_T120_MMC,0.210408548
RMV4_T120_MMC,0.227114616
RMV4_T120_MMC,0.187083703
RMV4_T0,0.022659285
RMV4_T0,0.023458222
RMV4_T0,0.022882508
RMV4_T20,0.020276145
RMV4_T20,0.021785154
RMV4_T20,0.020539601
RMV4_T60,0.029289464
RMV4_T60,0.030618296
RMV4_T60,0.032026477
RMV4_T120,0.04535505
RMV4_T120,0.046196798
RMV4_T120,0.04336684
RMV4_T20_CSP,0.020553697
RMV4_T20_CSP,0.021405344
RMV4_T20_CSP,0.020798738
RMV4_T60_CSP,0.035976116
RMV4_T60_CSP,0.031851155
RMV4_T60_CSP,0.035910423
RMV4_T120_CSP,0.096221688
RMV4_T120_CSP,0.099814445
RMV4_T120_CSP,0.095606147
RMV4_T20_MMC,0.020663593
RMV4_T20_MMC,0.02236527
RMV4_T20_MMC,0.020854577
RMV4_T60_MMC,0.038108398
RMV4_T60_MMC,0.037576863
RMV4_T60_MMC,0.036153191
RMV4_T120_MMC,0.189722402
RMV4_T120_MMC,0.177713032
RMV4_T120_MMC,0.192132148
