mutants,BCbyRpoA
RMV4_dprA_T0,0.003370366
RMV4_dprA_T0,0.003710585
RMV4_dprA_T0,0.003767683
RMV4_dprA_T20,0.003523865
RMV4_dprA_T20,0.003252958
RMV4_dprA_T20,0.003454697
RMV4_dprA_T20_CSP,0.004208934
RMV4_dprA_T20_CSP,0.00420913
RMV4_dprA_T20_CSP,0.004091729
RMV4_dprA_T20_MMC,0.002784065
RMV4_dprA_T20_MMC,0.00287638
RMV4_dprA_T20_MMC,0.002805097
RMV4_dprA_T60,0.006601507
RMV4_dprA_T60,0.006971821
RMV4_dprA_T60,0.006695508
RMV4_dprA_T60_CSP,0.007643945
RMV4_dprA_T60_CSP,0.007349131
RMV4_dprA_T60_CSP,0.007355904
RMV4_dprA_T60_MMC,0.008755353
RMV4_dprA_T60_MMC,0.008663958
RMV4_dprA_T60_MMC,0.008560275
RMV4_dprA_T120,0.017622601
RMV4_dprA_T120,0.017404895
RMV4_dprA_T120,0.017720166
RMV4_dprA_T120_CSP,0.021613226
RMV4_dprA_T120_CSP,0.022170605
RMV4_dprA_T120_CSP,0.022753596
RMV4_dprA_T120_MMC,0.075510361
RMV4_dprA_T120_MMC,0.076639994
RMV4_dprA_T120_MMC,0.078936489
RMV4_dprA_T0,0.006182918
RMV4_dprA_T0,0.006605422
RMV4_dprA_T0,0.006315836
RMV4_dprA_T20,0.007783276
RMV4_dprA_T20,0.011524294
RMV4_dprA_T20,0.013273668
RMV4_dprA_T20_CSP,0.006573007
RMV4_dprA_T20_CSP,0.006218937
RMV4_dprA_T20_CSP,0.006214525
RMV4_dprA_T20_MMC,0.015928361
RMV4_dprA_T20_MMC,0.029998778
RMV4_dprA_T20_MMC,0.035594665
RMV4_dprA_T60,0.012398726
RMV4_dprA_T60,0.011875373
RMV4_dprA_T60,0.012866633
RMV4_dprA_T60_CSP,0.054417341
RMV4_dprA_T60_CSP,0.01774933
RMV4_dprA_T60_CSP,0.018251106
RMV4_dprA_T60_MMC,0.015044056
RMV4_dprA_T60_MMC,0.016442354
RMV4_dprA_T60_MMC,0.016120963
RMV4_dprA_T120,0.035365766
RMV4_dprA_T120,0.034106548
RMV4_dprA_T120,0.037987059
RMV4_dprA_T120_CSP,0.041276989
RMV4_dprA_T120_CSP,0.037701081
RMV4_dprA_T120_CSP,0.036884113
RMV4_dprA_T120_MMC,0.094658536
RMV4_dprA_T120_MMC,0.104694488
RMV4_dprA_T120_MMC,0.089821951
