mutants,ADbyAB
RMV4_spaL_T0,0.004906803
RMV4_spaL_T0,0.005597132
RMV4_spaL_T0,0.005243736
RMV4_spaL_T20,0.004185535
RMV4_spaL_T20,0.004530348
RMV4_spaL_T20,0.004286712
RMV4_spaL_T60,0.004700255
RMV4_spaL_T60,0.004745212
RMV4_spaL_T60,0.004855909
RMV4_spaL_T120,0.012493237
RMV4_spaL_T120,0.012150637
RMV4_spaL_T120,0.012149668
RMV4_spaL_T20_CSP,0.004518558
RMV4_spaL_T20_CSP,0.004809991
RMV4_spaL_T20_CSP,0.004554341
RMV4_spaL_T60_CSP,0.006176939
RMV4_spaL_T60_CSP,0.006125665
RMV4_spaL_T60_CSP,0.006074955
RMV4_spaL_T120_CSP,0.037515036
RMV4_spaL_T120_CSP,0.080254605
RMV4_spaL_T120_CSP,0.075572567
RMV4_spaL_T20_MMC,0.004617383
RMV4_spaL_T20_MMC,0.004715954
RMV4_spaL_T20_MMC,0.004531422
RMV4_spaL_T60_MMC,0.005003922
RMV4_spaL_T60_MMC,0.005021743
RMV4_spaL_T60_MMC,0.004679611
RMV4_spaL_T120_MMC,0.03753172
RMV4_spaL_T120_MMC,0.035729337
RMV4_spaL_T120_MMC,0.038813408
RMV4_spaL_T0,0.105040292
RMV4_spaL_T0,0.104815728
RMV4_spaL_T0,0.105601596
RMV4_spaL_T20,0.010422401
RMV4_spaL_T20,0.011630079
RMV4_spaL_T20,0.010532637
RMV4_spaL_T60,0.007197825
RMV4_spaL_T60,0.006990687
RMV4_spaL_T60,0.068502751
RMV4_spaL_T120,0.006074788
RMV4_spaL_T120,0.005735644
RMV4_spaL_T120,0.005739119
RMV4_spaL_T20_CSP,0.012364477
RMV4_spaL_T20_CSP,0.012198066
RMV4_spaL_T20_CSP,0.013092505
RMV4_spaL_T60_CSP,0.016913615
RMV4_spaL_T60_CSP,0.015615989
RMV4_spaL_T60_CSP,0.01523315
RMV4_spaL_T120_CSP,0.043951479
RMV4_spaL_T120_CSP,0.042096003
RMV4_spaL_T120_CSP,0.044307412
RMV4_spaL_T20_MMC,0.015049797
RMV4_spaL_T20_MMC,0.013332272
RMV4_spaL_T20_MMC,0.015136953
RMV4_spaL_T60_MMC,0.016502519
RMV4_spaL_T60_MMC,0.016754654
RMV4_spaL_T60_MMC,0.01824451
RMV4_spaL_T120_MMC,0.045888816
RMV4_spaL_T120_MMC,0.060786174
RMV4_spaL_T120_MMC,0.057652465
RMV4_spaL_T0,0.288855139
RMV4_spaL_T0,0.282092959
RMV4_spaL_T0,0.262936429
RMV4_spaL_T20,0.028195356
RMV4_spaL_T20,0.024941944
RMV4_spaL_T20,0.026801153
RMV4_spaL_T60,0.018959274
RMV4_spaL_T60,0.018688446
RMV4_spaL_T60,0.019380639
RMV4_spaL_T120,0.013463137
RMV4_spaL_T120,0.012254672
RMV4_spaL_T120,0.011873135
RMV4_spaL_T20_CSP,0.031310137
RMV4_spaL_T20_CSP,0.072882861
RMV4_spaL_T20_CSP,0.030589695
RMV4_spaL_T60_CSP,0.020295969
RMV4_spaL_T60_CSP,0.020401042
RMV4_spaL_T60_CSP,0.020049369
RMV4_spaL_T120_CSP,0.082126155
RMV4_spaL_T120_CSP,0.06362191
RMV4_spaL_T120_CSP,0.080566815
RMV4_spaL_T20_MMC,0.032378512
RMV4_spaL_T20_MMC,0.030344279
RMV4_spaL_T20_MMC,0.031216323
RMV4_spaL_T60_MMC,0.047123216
RMV4_spaL_T60_MMC,0.053327438
RMV4_spaL_T60_MMC,0.048927213
RMV4_spaL_T120_MMC,0.030966315
RMV4_spaL_T120_MMC,0.033088621
RMV4_spaL_T120_MMC,0.031437447
