mutants,BCbyRpoA
RMV4_spaL_T0,0.052293033
RMV4_spaL_T0,0.036610939
RMV4_spaL_T0,0.042288864
RMV4_spaL_T20,0.074732908
RMV4_spaL_T20,0.076408651
RMV4_spaL_T20,0.091808608
RMV4_spaL_T20_CSP,0.055585467
RMV4_spaL_T20_CSP,0.060332838
RMV4_spaL_T20_CSP,0.06058741
RMV4_spaL_T20_MMC,0.067900227
RMV4_spaL_T20_MMC,0.069654918
RMV4_spaL_T20_MMC,0.06283095
RMV4_spaL_T60,0.059668659
RMV4_spaL_T60,0.06065291
RMV4_spaL_T60,0.056018351
RMV4_spaL_T60_CSP,0.059220474
RMV4_spaL_T60_CSP,0.062951542
RMV4_spaL_T60_CSP,0.040170388
RMV4_spaL_T60_MMC,0.062484839
RMV4_spaL_T60_MMC,0.05214455
RMV4_spaL_T60_MMC,0.057340859
RMV4_spaL_T120,0.052750756
RMV4_spaL_T120,0.029472769
RMV4_spaL_T120,0.041346876
RMV4_spaL_T120_CSP,0.067624211
RMV4_spaL_T120_CSP,0.070382059
RMV4_spaL_T120_CSP,0.065734638
RMV4_spaL_T120_MMC,0.068267716
RMV4_spaL_T120_MMC,0.073455169
RMV4_spaL_T120_MMC,0.071817647
RMV4_spaL_T0,0.218012184
RMV4_spaL_T0,0.18841235
RMV4_spaL_T0,0.243719716
RMV4_spaL_T20,0.048734568
RMV4_spaL_T20,0.061404106
RMV4_spaL_T20,0.015256821
RMV4_spaL_T20_CSP,0.061606389
RMV4_spaL_T20_CSP,0.056389167
RMV4_spaL_T20_CSP,0.067367835
RMV4_spaL_T20_MMC,0.082511418
RMV4_spaL_T20_MMC,0.079593346
RMV4_spaL_T20_MMC,0.076158179
RMV4_spaL_T60,0.064792755
RMV4_spaL_T60,0.056436288
RMV4_spaL_T60,0.045937926
RMV4_spaL_T60_CSP,0.074821325
RMV4_spaL_T60_CSP,0.076080116
RMV4_spaL_T60_CSP,0.06513417
RMV4_spaL_T60_MMC,0.063695451
RMV4_spaL_T60_MMC,0.041107157
RMV4_spaL_T60_MMC,0.055196571
RMV4_spaL_T120,0.071037931
RMV4_spaL_T120,0.071900848
RMV4_spaL_T120,0.075831307
RMV4_spaL_T120_CSP,0.059827556
RMV4_spaL_T120_CSP,0.06510461
RMV4_spaL_T120_CSP,0.062356245
RMV4_spaL_T120_MMC,0.065049007
RMV4_spaL_T120_MMC,0.069618514
RMV4_spaL_T120_MMC,0.066739999
RMV4_spaL_T0,0.016905131
RMV4_spaL_T0,0.062569742
RMV4_spaL_T0,0.014398396
RMV4_spaL_T20,0.020949478
RMV4_spaL_T20,0.021092291
RMV4_spaL_T20,0.013994325
RMV4_spaL_T60,0.225523273
RMV4_spaL_T60,0.09073265
RMV4_spaL_T60,0.085945397
RMV4_spaL_T120,0.162266767
RMV4_spaL_T120,0.230991117
RMV4_spaL_T120,0.006772111
RMV4_spaL_T20_CSP,0.12260606
RMV4_spaL_T20_CSP,0.073489156
RMV4_spaL_T20_CSP,0.002325846
RMV4_spaL_T60_CSP,0.047434075
RMV4_spaL_T60_CSP,0.000151711
RMV4_spaL_T60_CSP,0.002881765
RMV4_spaL_T120_CSP,0.005404238
RMV4_spaL_T120_CSP,0.001494327
RMV4_spaL_T120_CSP,0.02329556
RMV4_spaL_T20_MMC,0.008287108
RMV4_spaL_T20_MMC,0.009498128
RMV4_spaL_T20_MMC,0.002943468
RMV4_spaL_T60_MMC,0.559757157
RMV4_spaL_T60_MMC,0.424535762
RMV4_spaL_T60_MMC,0.253913234
RMV4_spaL_T120_MMC,0.004113224
RMV4_spaL_T120_MMC,0.017556738
RMV4_spaL_T120_MMC,0.00541233
