mutants,ratio
RMV8_T60,0.012197956
RMV8_T60,0.019681652
RMV8_T60,0.012611578
RMV8_T120,0.049547486
RMV8_T120,0.048428382
RMV8_T120,0.052281221
RMV8_T60_CSP,0.038445411
RMV8_T60_CSP,0.047354149
RMV8_T60_CSP,0.046427069
RMV8_T120_CSP,2.761747216
RMV8_T120_CSP,2.311224351
RMV8_T120_CSP,2.836185029
RMV8_T60_MMC,0.020982412
RMV8_T60_MMC,0.029372431
RMV8_T60_MMC,0.02417691
RMV8_T120_MMC,0.61065356
RMV8_T120_MMC,0.665406515
RMV8_T120_MMC,0.767209184
RMV8_Hybrid_T60,0.001929917
RMV8_Hybrid_T60,0.004153288
RMV8_Hybrid_T60,0.003954824
RMV8_Hybrid_T120,0.007792318
RMV8_Hybrid_T120,0.00951079
RMV8_Hybrid_T60_CSP,0.003272777
RMV8_Hybrid_T60_CSP,0.006196655
RMV8_Hybrid_T60_CSP,0.005811296
RMV8_Hybrid_T120_CSP,0.055681822
RMV8_Hybrid_T120_CSP,0.081971268
RMV8_Hybrid_T120_CSP,0.08575759
RMV8_Hybrid_T60_MMC,0.004976145
RMV8_Hybrid_T60_MMC,0.004870588
RMV8_Hybrid_T60_MMC,0.005494508
RMV8_Hybrid_T120_MMC,0.038914885
RMV8_Hybrid_T120_MMC,0.045189227
RMV8_Hybrid_T0,0.033506315
RMV8_Hybrid_T0,0.040047703
RMV8_Hybrid_T0,0.040260935
RMV8_Hybrid_T20,0.038216945
RMV8_Hybrid_T20,0.048384445
RMV8_Hybrid_T20,0.046596193
RMV8_Hybrid_T60,0.051981523
RMV8_Hybrid_T60,0.053408244
RMV8_Hybrid_T60,0.055518994
RMV8_Hybrid_T120,0.087906879
RMV8_Hybrid_T120,0.093766737
RMV8_Hybrid_T120,0.096295999
RMV8_Hybrid_T20_CSP,0.041966239
RMV8_Hybrid_T20_CSP,0.050371932
RMV8_Hybrid_T20_CSP,0.049773465
RMV8_Hybrid_T60_CSP,0.060293381
RMV8_Hybrid_T60_CSP,0.053845612
RMV8_Hybrid_T60_CSP,0.056800802
RMV8_Hybrid_T120_CSP,0.134688254
RMV8_Hybrid_T120_CSP,0.15752145
RMV8_Hybrid_T120_CSP,0.125685914
RMV8_Hybrid_T20_MMC,0.035489422
RMV8_Hybrid_T20_MMC,0.046712688
RMV8_Hybrid_T20_MMC,0.047463615
RMV8_Hybrid_T60_MMC,0.054959613
RMV8_Hybrid_T60_MMC,0.066593282
RMV8_Hybrid_T60_MMC,0.059179554
RMV8_Hybrid_T120_MMC,0.148599561
RMV8_Hybrid_T120_MMC,0.15575475
RMV8_Hybrid_T120_MMC,0.152985482
RMV8_T0,0.30638526
RMV8_T0,0.314830489
RMV8_T0,0.331633745
RMV8_T20,0.296151442
RMV8_T20,0.300275107
RMV8_T20,0.320729008
RMV8_T60,0.281245939
RMV8_T60,0.255999876
RMV8_T60,0.364524233
RMV8_T120,0.487456795
RMV8_T120,0.524156384
RMV8_T120,0.500635749
RMV8_T20_CSP,0.400352226
RMV8_T20_CSP,0.280538238
RMV8_T20_CSP,0.40943326
RMV8_T60_CSP,0.289039115
RMV8_T60_CSP,0.29320187
RMV8_T60_CSP,0.293470653
RMV8_T120_CSP,3.157797779
RMV8_T120_CSP,2.959903972
RMV8_T120_CSP,3.094737599
RMV8_T20_MMC,0.259646
RMV8_T20_MMC,0.326663978
RMV8_T20_MMC,0.276400232
RMV8_T60_MMC,0.352843019
RMV8_T60_MMC,0.360764598
RMV8_T60_MMC,0.34559324
RMV8_T120_MMC,0.855544681
RMV8_T120_MMC,0.796727233
RMV8_T120_MMC,0.742922164
RMV8_T0,0.144287767
RMV8_T0,0.159353199
RMV8_T0,0.115340086
RMV8_T20,0.120197565
RMV8_T20,0.1359063
RMV8_T20,0.122753053
RMV8_T60,0.087808185
RMV8_T60,0.094866555
RMV8_T60,0.107174827
RMV8_T120,0.23471937
RMV8_T120,0.222373685
RMV8_T120,0.203809794
RMV8_T20_CSP,0.13213525
RMV8_T20_CSP,0.140143482
RMV8_T20_CSP,0.13058965
RMV8_T60_CSP,0.107874852
RMV8_T60_CSP,0.111103182
RMV8_T60_CSP,0.099942128
RMV8_T120_CSP,3.952439909
RMV8_T120_CSP,4.17333952
RMV8_T120_CSP,4.461877762
RMV8_T20_MMC,0.132702308
RMV8_T20_MMC,0.116196818
RMV8_T20_MMC,0.126636962
RMV8_T60_MMC,0.12745822
RMV8_T60_MMC,0.103135765
RMV8_T60_MMC,0.098963794
RMV8_T120_MMC,1.92006441
RMV8_T120_MMC,1.770363442
RMV8_T120_MMC,1.730359877
RMV8_Hybrid_T0,0.02325191
RMV8_Hybrid_T0,0.019536465
RMV8_Hybrid_T0,0.022543997
RMV8_Hybrid_T20,0.024289516
