mutants,ratio
RMV8_T0,0.022962578
RMV8_T0,0.022761825
RMV8_T0,0.022229819
RMV8_T20,0.022526218
RMV8_T20,0.018125874
RMV8_T20,0.017459223
RMV8_T60,0.036656227
RMV8_T60,0.037621431
RMV8_T60,0.037636726
RMV8_T120,0.054689822
RMV8_T120,0.052116138
RMV8_T120,0.059883427
RMV8_T20_CSP,0.016821873
RMV8_T20_CSP,0.015731358
RMV8_T20_CSP,0.017340405
RMV8_T60_CSP,0.148578665
RMV8_T60_CSP,0.151334944
RMV8_T60_CSP,0.149419345
RMV8_T120_CSP,1.106111216
RMV8_T120_CSP,1.039501523
RMV8_T120_CSP,1.189608059
RMV8_T20_MMC,0.020414585
RMV8_T20_MMC,0.019538646
RMV8_T20_MMC,0.020046477
RMV8_T60_MMC,0.117744202
RMV8_T60_MMC,0.110137252
RMV8_T60_MMC,0.107793788
RMV8_T120_MMC,0.509022557
RMV8_T120_MMC,0.493239622
RMV8_T120_MMC,0.500272346
RMV8_T0,0.028608509
RMV8_T0,0.02941339
RMV8_T0,0.02976007
RMV8_T20,0.024500447
RMV8_T20,0.025034957
RMV8_T20,0.024623637
RMV8_T60,0.024278136
RMV8_T60,0.024924252
RMV8_T60,0.024492879
RMV8_T120,0.009178076
RMV8_T120,0.009208122
RMV8_T120,0.009719328
RMV8_T20_CSP,0.02209779
RMV8_T20_CSP,0.022702354
RMV8_T20_CSP,0.023107772
RMV8_T60_CSP,0.067554953
RMV8_T60_CSP,0.064720436
RMV8_T60_CSP,0.065225569
RMV8_T120_CSP,0.307118589
RMV8_T120_CSP,0.310094244
RMV8_T120_CSP,0.314159219
RMV8_T20_MMC,0.02632894
RMV8_T20_MMC,0.025981887
RMV8_T20_MMC,0.02618804
RMV8_T60_MMC,0.028826249
RMV8_T60_MMC,0.029034345
RMV8_T60_MMC,0.026349778
RMV8_T120_MMC,0.054307558
RMV8_T120_MMC,0.056882608
RMV8_T120_MMC,0.054429337
RMV8_T0,0.004758625
RMV8_T0,0.004740421
RMV8_T0,0.004620502
RMV8_T20,0.004092253
RMV8_T20,0.00432547
RMV8_T20,0.004337375
RMV8_T60,0.006833512
RMV8_T60,0.007009157
RMV8_T60,0.006808747
RMV8_T120,0.010712525
RMV8_T120,0.01081959
RMV8_T120,0.010295149
RMV8_T20_CSP,0.005458048
RMV8_T20_CSP,0.005654777
RMV8_T20_CSP,0.005395626
RMV8_T60_CSP,0.218441815
RMV8_T60_CSP,0.225142221
RMV8_T60_CSP,0.232242151
RMV8_T120_CSP,2.439188335
RMV8_T120_CSP,2.297506434
RMV8_T120_CSP,2.521525471
RMV8_T20_MMC,0.005069025
RMV8_T20_MMC,0.005231837
RMV8_T20_MMC,0.00477851
RMV8_T60_MMC,0.028056576
RMV8_T60_MMC,0.028208615
RMV8_T60_MMC,0.02677063
RMV8_T120_MMC,0.235497647
RMV8_T120_MMC,0.262245353
RMV8_T120_MMC,0.242673164
