mutants,gene,fold_change
comEA_T0,rpoA,1.014576632
comEA_T0,rpoA,1.040708254
comEA_T0,rpoA,0.947076362
comEA_T0,recA,1.03054768
comEA_T0,recA,0.997381762
comEA_T0,recA,0.972907689
comEA_T0,lytA,1.052277299
comEA_T0,lytA,1.034953729
comEA_T0,lytA,0.918225689
comEA_T0,RMV8_int,1.026970633
comEA_T0,RMV8_int,0.97610929
comEA_T0,RMV8_int,0.997570341
comEA_T20,rpoA,1.480319339
comEA_T20,rpoA,0.790528112
comEA_T20,rpoA,0.854531041
comEA_T20,recA,1.553954612
comEA_T20,recA,1.605307733
comEA_T20,recA,1.642718678
comEA_T20,lytA,1.756944221
comEA_T20,lytA,1.858747727
comEA_T20,lytA,1.978913821
comEA_T20,RMV8_int,1.75234644
comEA_T20,RMV8_int,1.74083321
comEA_T20,RMV8_int,1.822857015
comEA_T60,rpoA,1.478259956
comEA_T60,rpoA,0.742405897
comEA_T60,rpoA,0.911187544
comEA_T60,recA,0.897073412
comEA_T60,recA,0.798942023
comEA_T60,recA,0.68732416
comEA_T60,lytA,1.343347682
comEA_T60,lytA,0.774800598
comEA_T60,lytA,0.526900877
comEA_T60,RMV8_int,0.690459921
comEA_T60,RMV8_int,0.69773312
comEA_T60,RMV8_int,0.741465221
comEA_T120,rpoA,0.972788075
comEA_T120,rpoA,0.991777642
comEA_T120,rpoA,1.036495565
comEA_T120,recA,1.291036934
comEA_T120,recA,1.373492947
comEA_T120,recA,1.309952885
comEA_T120,lytA,7.841161794
comEA_T120,lytA,8.560156522
comEA_T120,lytA,8.257362263
comEA_T120,RMV8_int,2.148702927
comEA_T120,RMV8_int,2.192055255
comEA_T120,RMV8_int,2.143689193
comEA_T20_CSP,rpoA,0.943706697
comEA_T20_CSP,rpoA,1.049031111
comEA_T20_CSP,rpoA,1.010125114
comEA_T20_CSP,recA,34.33890924
comEA_T20_CSP,recA,36.7032988
comEA_T20_CSP,recA,35.49954861
comEA_T20_CSP,lytA,0.628529921
comEA_T20_CSP,lytA,0.668322916
comEA_T20_CSP,lytA,0.764297123
comEA_T20_CSP,RMV8_int,1.656939983
comEA_T20_CSP,RMV8_int,1.601373508
comEA_T20_CSP,RMV8_int,1.690343662
comEA_T60_CSP,rpoA,0.950376384
comEA_T60_CSP,rpoA,0.991003024
comEA_T60_CSP,rpoA,1.061768797
comEA_T60_CSP,recA,1.575774586
comEA_T60_CSP,recA,1.456387878
comEA_T60_CSP,recA,1.590257097
comEA_T60_CSP,lytA,0.408630282
comEA_T60_CSP,lytA,0.172366639
comEA_T60_CSP,lytA,0.363322799
comEA_T60_CSP,RMV8_int,2.971166931
comEA_T60_CSP,RMV8_int,3.024108566
comEA_T60_CSP,RMV8_int,3.045219881
comEA_T120_CSP,rpoA,0.974564509
comEA_T120_CSP,rpoA,0.923168846
comEA_T120_CSP,rpoA,1.111495463
comEA_T120_CSP,recA,3.117707892
comEA_T120_CSP,recA,3.390861815
comEA_T120_CSP,recA,3.21069187
comEA_T120_CSP,lytA,3.274003254
comEA_T120_CSP,lytA,3.193732272
comEA_T120_CSP,lytA,3.123954605
comEA_T120_CSP,RMV8_int,5.449821411
comEA_T120_CSP,RMV8_int,5.128509448
comEA_T120_CSP,RMV8_int,5.071085831
comEA_T20_MMC,rpoA,1.07654818
comEA_T20_MMC,rpoA,0.863992749
comEA_T20_MMC,rpoA,1.075118738
comEA_T20_MMC,recA,1.074611423
comEA_T20_MMC,recA,1.066470463
comEA_T20_MMC,recA,1.165384576
comEA_T20_MMC,lytA,0.381673942
comEA_T20_MMC,lytA,0.395563601
comEA_T20_MMC,lytA,0.409078386
comEA_T20_MMC,RMV8_int,2.007523492
comEA_T20_MMC,RMV8_int,1.836160051
comEA_T20_MMC,RMV8_int,1.936384332
comEA_T60_MMC,rpoA,1.016995273
comEA_T60_MMC,rpoA,0.985378725
comEA_T60_MMC,rpoA,0.997876364
comEA_T60_MMC,recA,0.867287587
comEA_T60_MMC,recA,0.760678178
comEA_T60_MMC,recA,0.782018757
comEA_T60_MMC,lytA,1.195255046
comEA_T60_MMC,lytA,1.162946623
comEA_T60_MMC,lytA,1.236021738
comEA_T60_MMC,RMV8_int,3.752103397
comEA_T60_MMC,RMV8_int,3.395630561
comEA_T60_MMC,RMV8_int,3.474061346
comEA_T120_MMC,rpoA,1.010385562
comEA_T120_MMC,rpoA,0.933974409
comEA_T120_MMC,rpoA,1.059689096
comEA_T120_MMC,recA,1.275358248
comEA_T120_MMC,recA,1.409247048
comEA_T120_MMC,recA,1.31216633
comEA_T120_MMC,lytA,9.720976384
comEA_T120_MMC,lytA,7.932815652
comEA_T120_MMC,lytA,8.210162268
