mutants,ratio
RMV8_hybrid_T0,0.002204221
RMV8_hybrid_T0,0.002277207
RMV8_hybrid_T0,0.002005129
RMV8_hybrid_T20,0.002918844
RMV8_hybrid_T20,0.002872833
RMV8_hybrid_T20,0.002775585
RMV8_hybrid_T60,0.005931536
RMV8_hybrid_T60,0.005971307
RMV8_hybrid_T60,0.005951482
RMV8_hybrid_T120,0.011824228
RMV8_hybrid_T120,0.011632337
RMV8_hybrid_T120,0.011105776
RMV8_hybrid_T20_CSP,0.002699413
RMV8_hybrid_T20_CSP,0.002664999
RMV8_hybrid_T20_CSP,0.002719396
RMV8_hybrid_T60_CSP,0.027776387
RMV8_hybrid_T60_CSP,0.027908375
RMV8_hybrid_T60_CSP,0.027103157
RMV8_hybrid_T120_CSP,0.15764054
RMV8_hybrid_T120_CSP,0.149176623
RMV8_hybrid_T120_CSP,0.148031542
RMV8_hybrid_T20_MMC,0.004560203
RMV8_hybrid_T20_MMC,0.004731883
RMV8_hybrid_T20_MMC,0.004675519
RMV8_hybrid_T60_MMC,0.039422428
RMV8_hybrid_T60_MMC,0.039365171
RMV8_hybrid_T60_MMC,0.037350856
RMV8_hybrid_T120_MMC,0.168449601
RMV8_hybrid_T120_MMC,0.158241369
RMV8_hybrid_T120_MMC,0.165662306
RMV8_hybrid_T0,0.001974431
RMV8_hybrid_T0,0.001897291
RMV8_hybrid_T0,0.00196558
RMV8_hybrid_T20,0.002394324
RMV8_hybrid_T20,0.002435944
RMV8_hybrid_T20,0.002681014
RMV8_hybrid_T60,0.003178295
RMV8_hybrid_T60,0.003115109
RMV8_hybrid_T60,0.003169246
RMV8_hybrid_T120,0.003622634
RMV8_hybrid_T120,0.004280929
RMV8_hybrid_T120,0.004669108
RMV8_hybrid_T20_CSP,0.002238224
RMV8_hybrid_T20_CSP,0.002150527
RMV8_hybrid_T20_CSP,0.002263747
RMV8_hybrid_T60_CSP,0.01000909
RMV8_hybrid_T60_CSP,0.009508888
RMV8_hybrid_T60_CSP,0.010926194
RMV8_hybrid_T120_CSP,0.067108434
RMV8_hybrid_T120_CSP,0.072586072
RMV8_hybrid_T120_CSP,0.07310868
RMV8_hybrid_T20_MMC,0.002346535
RMV8_hybrid_T20_MMC,0.002381082
RMV8_hybrid_T20_MMC,0.002693684
RMV8_hybrid_T60_MMC,0.006861897
RMV8_hybrid_T60_MMC,0.007510173
RMV8_hybrid_T60_MMC,0.007193509
RMV8_hybrid_T120_MMC,0.022552548
RMV8_hybrid_T120_MMC,0.023304636
RMV8_hybrid_T120_MMC,0.023373578
RMV8_hybrid_T0,0.001802424
RMV8_hybrid_T0,0.001863731
RMV8_hybrid_T0,0.001864636
RMV8_hybrid_T20,0.00143797
RMV8_hybrid_T20,0.001460603
RMV8_hybrid_T20,0.001365266
RMV8_hybrid_T60,0.00156414
RMV8_hybrid_T60,0.001533329
RMV8_hybrid_T60,0.001594028
RMV8_hybrid_T120,0.001906198
RMV8_hybrid_T120,0.001884334
RMV8_hybrid_T120,0.001701329
RMV8_hybrid_T20_CSP,0.001410188
RMV8_hybrid_T20_CSP,0.00154523
RMV8_hybrid_T20_CSP,0.001500828
RMV8_hybrid_T60_CSP,0.001721076
RMV8_hybrid_T60_CSP,0.001652452
RMV8_hybrid_T60_CSP,0.001643221
RMV8_hybrid_T120_CSP,0.005900976
RMV8_hybrid_T120_CSP,0.006379387
RMV8_hybrid_T120_CSP,0.006459078
RMV8_hybrid_T20_MMC,0.001419597
RMV8_hybrid_T20_MMC,0.001314955
RMV8_hybrid_T20_MMC,0.002035566
RMV8_hybrid_T60_MMC,0.01100386
RMV8_hybrid_T60_MMC,0.010972915
RMV8_hybrid_T60_MMC,0.010150347
RMV8_hybrid_T120_MMC,0.058851212
RMV8_hybrid_T120_MMC,0.124906499
RMV8_hybrid_T120_MMC,0.062732624
