mutants,gene,Fold_change
RMV8_hybrid_T0,rpoA,0.984014396
RMV8_hybrid_T0,rpoA,1.029833998
RMV8_hybrid_T0,rpoA,0.986803653
RMV8_hybrid_T0,recA,1.005281036
RMV8_hybrid_T0,recA,1.003621089
RMV8_hybrid_T0,recA,0.991153706
RMV8_hybrid_T0,dnaC,1.32862595
RMV8_hybrid_T0,dnaC,0.780860629
RMV8_hybrid_T0,dnaC,0.963882993
RMV8_hybrid_T0,Int_RMV8,1.259075709
RMV8_hybrid_T0,Int_RMV8,0.800879437
RMV8_hybrid_T0,Int_RMV8,0.991704217
RMV8_hybrid_T0,Imma_2743,0.993156674
RMV8_hybrid_T0,Imma_2743,1.061060147
RMV8_hybrid_T0,Imma_2743,0.948948854
RMV8_hybrid_T0,RMV8_lytA,1.011178005
RMV8_hybrid_T0,RMV8_lytA,0.952970754
RMV8_hybrid_T0,RMV8_lytA,1.037752913
RMV8_hybrid_T20,rpoA,1.040479881
RMV8_hybrid_T20,rpoA,1.031785536
RMV8_hybrid_T20,rpoA,0.931485939
RMV8_hybrid_T20,recA,1.267955841
RMV8_hybrid_T20,recA,1.257510304
RMV8_hybrid_T20,recA,1.088479663
RMV8_hybrid_T20,dnaC,1.419355197
RMV8_hybrid_T20,dnaC,1.279177954
RMV8_hybrid_T20,dnaC,1.333362983
RMV8_hybrid_T20,Int_RMV8,1.277791948
RMV8_hybrid_T20,Int_RMV8,1.307036231
RMV8_hybrid_T20,Int_RMV8,1.508270831
RMV8_hybrid_T20,Imma_2743,1.213221463
RMV8_hybrid_T20,Imma_2743,1.274247581
RMV8_hybrid_T20,Imma_2743,1.465552863
RMV8_hybrid_T20,RMV8_lytA,2.150635501
RMV8_hybrid_T20,RMV8_lytA,2.116650827
RMV8_hybrid_T20,RMV8_lytA,2.380956293
RMV8_hybrid_T60,rpoA,0.98498798
RMV8_hybrid_T60,rpoA,0.935112336
RMV8_hybrid_T60,rpoA,1.085687178
RMV8_hybrid_T60,recA,1.147756259
RMV8_hybrid_T60,recA,1.125809937
RMV8_hybrid_T60,recA,1.27637707
RMV8_hybrid_T60,dnaC,1.742322924
RMV8_hybrid_T60,dnaC,1.781760531
RMV8_hybrid_T60,dnaC,1.730257808
RMV8_hybrid_T60,Int_RMV8,2.27692997
RMV8_hybrid_T60,Int_RMV8,1.560790351
RMV8_hybrid_T60,Int_RMV8,1.758912742
RMV8_hybrid_T60,Imma_2743,1.83866698
RMV8_hybrid_T60,Imma_2743,2.08336293
RMV8_hybrid_T60,Imma_2743,2.43301203
RMV8_hybrid_T60,RMV8_lytA,1.989390837
RMV8_hybrid_T60,RMV8_lytA,1.907093403
RMV8_hybrid_T60,RMV8_lytA,1.930701713
RMV8_hybrid_T120,rpoA,1.384715154
RMV8_hybrid_T120,rpoA,0.836720058
RMV8_hybrid_T120,rpoA,0.863093116
RMV8_hybrid_T120,recA,1.170588399
RMV8_hybrid_T120,recA,0.851059602
RMV8_hybrid_T120,recA,0.905081213
RMV8_hybrid_T120,dnaC,1.841841981
RMV8_hybrid_T120,dnaC,2.305579836
RMV8_hybrid_T120,dnaC,2.458631257
RMV8_hybrid_T120,Int_RMV8,1.549252959
RMV8_hybrid_T120,Int_RMV8,1.720551703
RMV8_hybrid_T120,Int_RMV8,1.942674309
RMV8_hybrid_T120,Imma_2743,1.361745839
RMV8_hybrid_T120,Imma_2743,1.264758088
RMV8_hybrid_T120,Imma_2743,1.594043882
RMV8_hybrid_T120,RMV8_lytA,2.269317713
RMV8_hybrid_T120,RMV8_lytA,2.300072329
RMV8_hybrid_T120,RMV8_lytA,1.878819248
RMV8_hybrid_T20_CSP,rpoA,1.047985913
RMV8_hybrid_T20_CSP,rpoA,1.026928545
RMV8_hybrid_T20_CSP,rpoA,0.929193262
RMV8_hybrid_T20_CSP,recA,4.425017892
RMV8_hybrid_T20_CSP,recA,4.522206113
RMV8_hybrid_T20_CSP,recA,4.906742194
RMV8_hybrid_T20_CSP,dnaC,1.445887915
RMV8_hybrid_T20_CSP,dnaC,1.299501499
RMV8_hybrid_T20_CSP,dnaC,1.364402109
RMV8_hybrid_T20_CSP,Int_RMV8,2.927476971
RMV8_hybrid_T20_CSP,Int_RMV8,2.810386268
RMV8_hybrid_T20_CSP,Int_RMV8,2.781734198
RMV8_hybrid_T20_CSP,Imma_2743,3.003207134
RMV8_hybrid_T20_CSP,Imma_2743,2.794214657
