mutants,gene,fold_change
hybrid_recA_T0,RpoA,1.009812665
hybrid_recA_T0,RpoA,0.953729514
hybrid_recA_T0,RpoA,1.038329307
hybrid_recA_T0,dnaC,5.317364999
hybrid_recA_T0,dnaC,5.071502262
hybrid_recA_T0,dnaC,5.768737732
hybrid_recA_T0,lytA,0.16149283
hybrid_recA_T0,lytA,0.139359949
hybrid_recA_T0,lytA,0.133431785
Hybrid_recA_T0,Int,2.013569312
Hybrid_recA_T0,Int,2.207438256
Hybrid_recA_T0,Int,2.456141018
Hybrid_recA_T0,immA_2743,1.649679992
Hybrid_recA_T0,immA_2743,1.997866138
Hybrid_recA_T0,immA_2743,1.768172533
hybrid_recA_T20,RpoA,0.88308917
hybrid_recA_T20,RpoA,1.074367088
hybrid_recA_T20,RpoA,1.054005181
hybrid_recA_T20,dnaC,10.90493422
hybrid_recA_T20,dnaC,9.724769846
hybrid_recA_T20,dnaC,9.831757444
hybrid_recA_T20,lytA,0.866015139
hybrid_recA_T20,lytA,1.094091183
hybrid_recA_T20,lytA,0.959237138
Hybrid_recA_T20,Int,3.366408407
Hybrid_recA_T20,Int,3.324554372
Hybrid_recA_T20,Int,3.689071794
Hybrid_recA_T20,immA_2743,2.859727795
Hybrid_recA_T20,immA_2743,2.839759754
Hybrid_recA_T20,immA_2743,2.866298749
hybrid_recA_T60,RpoA,1.06822165
hybrid_recA_T60,RpoA,0.915390619
hybrid_recA_T60,RpoA,1.022663466
hybrid_recA_T60,dnaC,7.897478578
hybrid_recA_T60,dnaC,8.333441928
hybrid_recA_T60,dnaC,8.47390584
hybrid_recA_T60,lytA,0.834975672
hybrid_recA_T60,lytA,0.895125093
hybrid_recA_T60,lytA,0.926905548
Hybrid_recA_T60,Int,3.052521727
Hybrid_recA_T60,Int,2.947510351
Hybrid_recA_T60,Int,2.686135982
Hybrid_recA_T60,immA_2743,2.385003251
Hybrid_recA_T60,immA_2743,2.887151832
Hybrid_recA_T60,immA_2743,2.410222105
hybrid_recA_T120,RpoA,1.009517663
hybrid_recA_T120,RpoA,1.005651911
hybrid_recA_T120,RpoA,0.985006211
hybrid_recA_T120,dnaC,13.82123622
hybrid_recA_T120,dnaC,14.22349618
hybrid_recA_T120,dnaC,14.33157936
hybrid_recA_T120,lytA,4.252893135
hybrid_recA_T120,lytA,4.771841288
hybrid_recA_T120,lytA,4.29338209
Hybrid_recA_T120,Int,3.016619431
Hybrid_recA_T120,Int,2.842347485
Hybrid_recA_T120,Int,3.036915513
Hybrid_recA_T120,immA_2743,3.979815737
Hybrid_recA_T120,immA_2743,4.453079543
Hybrid_recA_T120,immA_2743,4.226068773
hybrid_recA_T20_CSP,RpoA,1.023484481
hybrid_recA_T20_CSP,RpoA,0.949581373
hybrid_recA_T20_CSP,RpoA,1.028933069
hybrid_recA_T20_CSP,dnaC,9.915233985
hybrid_recA_T20_CSP,dnaC,9.915850112
hybrid_recA_T20_CSP,dnaC,9.535568801
hybrid_recA_T20_CSP,lytA,0.95209357
hybrid_recA_T20_CSP,lytA,1.136426519
hybrid_recA_T20_CSP,lytA,1.041189163
Hybrid_recA_T20_CSP,Int,2.691233332
Hybrid_recA_T20_CSP,Int,2.376068065
Hybrid_recA_T20_CSP,Int,2.654560486
Hybrid_recA_T20_CSP,immA_2743,2.683247001
Hybrid_recA_T20_CSP,immA_2743,2.603506623
Hybrid_recA_T20_CSP,immA_2743,3.344980556
hybrid_recA_T60_CSP,RpoA,0.961014942
hybrid_recA_T60_CSP,RpoA,0.952072871
hybrid_recA_T60_CSP,RpoA,1.092951317
hybrid_recA_T60_CSP,dnaC,10.95784325
hybrid_recA_T60_CSP,dnaC,9.693987919
hybrid_recA_T60_CSP,dnaC,10.91168352
hybrid_recA_T60_CSP,lytA,1.949016784
hybrid_recA_T60_CSP,lytA,2.00821751
hybrid_recA_T60_CSP,lytA,1.749685252
Hybrid_recA_T60_CSP,Int,3.810217797
Hybrid_recA_T60_CSP,Int,3.134846027
Hybrid_recA_T60_CSP,Int,3.516888469
Hybrid_recA_T60_CSP,immA_2743,3.36979284
Hybrid_recA_T60_CSP,immA_2743,3.944593471
Hybrid_recA_T60_CSP,immA_2743,3.52449902
hybrid_recA_T120_CSP,RpoA,1.105529286
hybrid_recA_T120_CSP,RpoA,0.995309741
hybrid_recA_T120_CSP,RpoA,0.908810249
hybrid_recA_T120_CSP,dnaC,11.56764027
hybrid_recA_T120_CSP,dnaC,13.00257782
hybrid_recA_T120_CSP,dnaC,10.49057565
hybrid_recA_T120_CSP,lytA,2.273589353
hybrid_recA_T120_CSP,lytA,2.252005238
hybrid_recA_T120_CSP,lytA,1.556529818
Hybrid_recA_T120_CSP,Int,3.01544713
Hybrid_recA_T120_CSP,Int,3.235237216
Hybrid_recA_T120_CSP,Int,2.57434151
Hybrid_recA_T120_CSP,immA_2743,3.80110628
Hybrid_recA_T120_CSP,immA_2743,3.495486979
Hybrid_recA_T120_CSP,immA_2743,3.080804924
hybrid_recA_T20_MMC,RpoA,0.963667656
hybrid_recA_T20_MMC,RpoA,1.049461137
hybrid_recA_T20_MMC,RpoA,0.988796523
hybrid_recA_T20_MMC,dnaC,8.121970668
hybrid_recA_T20_MMC,dnaC,7.637699216
hybrid_recA_T20_MMC,dnaC,8.491883492
hybrid_recA_T20_MMC,lytA,0.640953888
hybrid_recA_T20_MMC,lytA,0.627991226
hybrid_recA_T20_MMC,lytA,0.635717353
Hybrid_recA_T20_MMC,Int,2.976370323
Hybrid_recA_T20_MMC,Int,3.206998923
Hybrid_recA_T20_MMC,Int,3.33093808
Hybrid_recA_T20_MMC,immA_2743,2.312982092
Hybrid_recA_T20_MMC,immA_2743,2.503755916
Hybrid_recA_T20_MMC,immA_2743,2.451446993
hybrid_recA_T60_MMC,RpoA,1.059446753
hybrid_recA_T60_MMC,RpoA,0.944088555
hybrid_recA_T60_MMC,RpoA,0.999787169
hybrid_recA_T60_MMC,dnaC,12.24418912
hybrid_recA_T60_MMC,dnaC,13.24033654
hybrid_recA_T60_MMC,dnaC,13.43981997
hybrid_recA_T60_MMC,lytA,1.91538747
hybrid_recA_T60_MMC,lytA,2.132059731
hybrid_recA_T60_MMC,lytA,2.029178602
Hybrid_recA_T60_MMC,Int,4.972533382
Hybrid_recA_T60_MMC,Int,5.072960042
Hybrid_recA_T60_MMC,Int,5.14939099
Hybrid_recA_T60_MMC,immA_2743,3.08754912
Hybrid_recA_T60_MMC,immA_2743,4.050879899
Hybrid_recA_T60_MMC,immA_2743,4.188689264
hybrid_recA_T120_MMC,RpoA,1.04001366
hybrid_recA_T120_MMC,RpoA,1.011953676
hybrid_recA_T120_MMC,RpoA,0.950171602
hybrid_recA_T120_MMC,dnaC,63.27303143
hybrid_recA_T120_MMC,dnaC,63.43191765
hybrid_recA_T120_MMC,dnaC,64.52190165
hybrid_recA_T120_MMC,lytA,13.28463317
hybrid_recA_T120_MMC,lytA,14.32321337
hybrid_recA_T120_MMC,lytA,13.95935678
Hybrid_recA_T120_MMC,Int,8.922575554
Hybrid_recA_T120_MMC,Int,8.153767241
Hybrid_recA_T120_MMC,Int,8.133160637
Hybrid_recA_T120_MMC,immA_2743,12.82574121
Hybrid_recA_T120_MMC,immA_2743,13.95832537
Hybrid_recA_T120_MMC,immA_2743,12.92291252
hybrid_recA_T0,RpoA,0.936764237
hybrid_recA_T0,RpoA,0.961781379
