mutants,gene,Fold_change
RMV8_T0,rpoA,1.001720173
RMV8_T0,rpoA,0.939061937
RMV8_T0,rpoA,1.063068048
RMV8_T0,recA,1.039936665
RMV8_T0,recA,0.981722213
RMV8_T0,recA,0.979496231
RMV8_T0,rep,1.083741143
RMV8_T0,rep,1.031445932
RMV8_T0,rep,0.894594552
RMV8_T0,int,0.961389822
RMV8_T0,int,0.958540595
RMV8_T0,int,1.085150486
RMV8_T0,Lex,0.986649719
RMV8_T0,Lex,0.990523615
RMV8_T0,Lex,1.023224715
RMV8_T0,lytA,1.020200323
RMV8_T0,lytA,1.052406688
RMV8_T0,lytA,0.931386193
RMV8_T20,rpoA,1.019345555
RMV8_T20,rpoA,0.960917116
RMV8_T20,rpoA,1.020920826
RMV8_T20,recA,0.851719203
RMV8_T20,recA,0.8777651
RMV8_T20,recA,0.836529812
RMV8_T20,rep,0.42511257
RMV8_T20,rep,0.389012375
RMV8_T20,rep,0.41343456
RMV8_T20,int,0.833675801
RMV8_T20,int,0.878924013
RMV8_T20,int,0.907961176
RMV8_T20,Lex,0.681305135
RMV8_T20,Lex,0.697984073
RMV8_T20,Lex,0.668137392
RMV8_T20,lytA,0.475555851
RMV8_T20,lytA,0.486374746
RMV8_T20,lytA,0.459551294
RMV8_T60,rpoA,1.111239804
RMV8_T60,rpoA,0.994383798
RMV8_T60,rpoA,0.904977116
RMV8_T60,recA,0.775416473
RMV8_T60,recA,0.746379853
RMV8_T60,recA,0.783388821
RMV8_T60,rep,0.489685961
RMV8_T60,rep,0.473934011
RMV8_T60,rep,0.4500877
RMV8_T60,int,0.629106042
RMV8_T60,int,0.640274267
RMV8_T60,int,0.66018481
RMV8_T60,Lex,0.545782517
RMV8_T60,Lex,0.548271077
RMV8_T60,Lex,0.579405216
RMV8_T60,lytA,0.440573121
RMV8_T60,lytA,0.419982652
RMV8_T60,lytA,0.396340965
RMV8_T120,rpoA,1.020941072
RMV8_T120,rpoA,0.997985869
RMV8_T120,rpoA,0.981465261
RMV8_T120,recA,0.611087806
RMV8_T120,recA,0.689208641
RMV8_T120,recA,0.519158476
RMV8_T120,rep,0.459843624
RMV8_T120,rep,0.437438984
RMV8_T120,rep,0.470640324
RMV8_T120,int,0.665236679
RMV8_T120,int,0.673225194
RMV8_T120,int,0.672333951
RMV8_T120,Lex,0.707507009
RMV8_T120,Lex,0.651297962
RMV8_T120,Lex,0.663952104
RMV8_T120,lytA,0.350119653
RMV8_T120,lytA,0.325330113
RMV8_T120,lytA,0.341257046
RMV8_T20_CSP,rpoA,0.660746267
RMV8_T20_CSP,rpoA,1.607331592
RMV8_T20_CSP,rpoA,0.941585585
RMV8_T20_CSP,recA,5.901028768
RMV8_T20_CSP,recA,6.615976251
RMV8_T20_CSP,recA,7.24272727
RMV8_T20_CSP,rep,1.035977712
RMV8_T20_CSP,rep,0.776689738
RMV8_T20_CSP,rep,0.794148367
RMV8_T20_CSP,int,1.407439111
RMV8_T20_CSP,int,0.715211255
RMV8_T20_CSP,int,0.774866159
RMV8_T20_CSP,Lex,0.924948823
RMV8_T20_CSP,Lex,0.744915939
RMV8_T20_CSP,Lex,1.029354856
RMV8_T20_CSP,lytA,0.775807156
RMV8_T20_CSP,lytA,0.775757926
RMV8_T20_CSP,lytA,0.684655977
RMV8_T60_CSP,rpoA,1.079043222
RMV8_T60_CSP,rpoA,0.980108942
RMV8_T60_CSP,rpoA,0.945553776
RMV8_T60_CSP,recA,2.013631872
RMV8_T60_CSP,recA,2.739529224
RMV8_T60_CSP,recA,1.939371643
RMV8_T60_CSP,rep,1.175549668
RMV8_T60_CSP,rep,1.222317812
RMV8_T60_CSP,rep,1.352385845
RMV8_T60_CSP,int,10.68850241
RMV8_T60_CSP,int,8.885970255
RMV8_T60_CSP,int,8.806558952
RMV8_T60_CSP,Lex,2.05398743
RMV8_T60_CSP,Lex,1.721047658
RMV8_T60_CSP,Lex,1.913493135
RMV8_T60_CSP,lytA,0.542027484
RMV8_T60_CSP,lytA,0.563393377
RMV8_T60_CSP,lytA,0.565526925
RMV8_T120_CSP,rpoA,1.023843121
RMV8_T120_CSP,rpoA,1.014547123
RMV8_T120_CSP,rpoA,0.962707509
RMV8_T120_CSP,recA,1.189546763
RMV8_T120_CSP,recA,0.845888375
RMV8_T120_CSP,recA,0.962263415
RMV8_T120_CSP,rep,83.05942216
RMV8_T120_CSP,rep,74.89096925
RMV8_T120_CSP,rep,73.4471267
RMV8_T120_CSP,int,5.080117916
RMV8_T120_CSP,int,5.061367148
RMV8_T120_CSP,int,5.173407128
RMV8_T120_CSP,Lex,20.98447712
RMV8_T120_CSP,Lex,20.83321513
RMV8_T120_CSP,Lex,20.78520793
RMV8_T120_CSP,lytA,6.206883946
RMV8_T120_CSP,lytA,5.772643073
RMV8_T120_CSP,lytA,5.921794051
RMV8_T20_MMC,rpoA,1.030858367
RMV8_T20_MMC,rpoA,0.96919366
RMV8_T20_MMC,rpoA,1.000899414
RMV8_T20_MMC,recA,0.689003655
RMV8_T20_MMC,recA,0.69704623
RMV8_T20_MMC,recA,0.792630581
RMV8_T20_MMC,rep,0.427412978
RMV8_T20_MMC,rep,0.438501501
RMV8_T20_MMC,rep,0.365775488
RMV8_T20_MMC,int,0.935337368
RMV8_T20_MMC,int,0.886793249
RMV8_T20_MMC,int,0.894685626
RMV8_T20_MMC,Lex,0.754288973
RMV8_T20_MMC,Lex,0.735848084
RMV8_T20_MMC,Lex,0.755673393
RMV8_T20_MMC,lytA,0.403252249
RMV8_T20_MMC,lytA,0.410438671
RMV8_T20_MMC,lytA,0.403146704
RMV8_T60_MMC,rpoA,1.00571972
RMV8_T60_MMC,rpoA,0.992912481
RMV8_T60_MMC,rpoA,1.001410324
RMV8_T60_MMC,recA,1.081987401
RMV8_T60_MMC,recA,1.07221026
RMV8_T60_MMC,recA,1.098352884
RMV8_T60_MMC,rep,1.018787781
RMV8_T60_MMC,rep,0.989732965
RMV8_T60_MMC,rep,1.107508588
RMV8_T60_MMC,int,2.83015525
RMV8_T60_MMC,int,2.64344984
RMV8_T60_MMC,int,2.741746698
RMV8_T60_MMC,Lex,1.450832022
RMV8_T60_MMC,Lex,1.476351771
RMV8_T60_MMC,Lex,1.394199364
RMV8_T60_MMC,lytA,0.766809196
RMV8_T60_MMC,lytA,0.731297623
RMV8_T60_MMC,lytA,0.706280859
RMV8_T120_MMC,rpoA,1.019625905
RMV8_T120_MMC,rpoA,1.029210613
RMV8_T120_MMC,rpoA,0.9529191
RMV8_T120_MMC,recA,0.786034306
RMV8_T120_MMC,recA,0.80757253
RMV8_T120_MMC,recA,1.782759593
RMV8_T120_MMC,rep,3.056917703
RMV8_T120_MMC,rep,3.125656668
RMV8_T120_MMC,rep,3.179311828
RMV8_T120_MMC,int,1.601318464
RMV8_T120_MMC,int,1.70076055
RMV8_T120_MMC,int,1.470103511
RMV8_T120_MMC,Lex,1.730205195
RMV8_T120_MMC,Lex,1.62210199
RMV8_T120_MMC,Lex,1.487983507
RMV8_T120_MMC,lytA,2.516380917
RMV8_T120_MMC,lytA,2.700073457
RMV8_T120_MMC,lytA,2.507523858
RMV8_T0,rpoA,0.958510181
RMV8_T0,rpoA,0.97212596
RMV8_T0,rpoA,1.073202997
RMV8_T0,recA,1.009100002
RMV8_T0,recA,0.997198492
RMV8_T0,recA,0.993763477
RMV8_T0,rep,1.090477457
RMV8_T0,rep,0.935672542
RMV8_T0,rep,0.980076548
RMV8_T0,lytA,1.047857068
RMV8_T0,lytA,0.92127414
RMV8_T0,lytA,1.035879103
RMV8_T0,Lex,0.986803653
RMV8_T0,Lex,1.047274
RMV8_T0,Lex,0.967626562
RMV8_T0,int,1.057402355
RMV8_T0,int,0.980447198
RMV8_T0,int,0.964571374
RMV8_T20,rpoA,1.013907522
RMV8_T20,rpoA,0.954583526
RMV8_T20,rpoA,1.033206538
RMV8_T20,recA,1.196293698
RMV8_T20,recA,1.358934832
RMV8_T20,recA,1.313530576
RMV8_T20,rep,2.315278039
RMV8_T20,rep,2.247551283
RMV8_T20,rep,2.201089679
RMV8_T20,lytA,2.37527187
RMV8_T20,lytA,2.266460319
RMV8_T20,lytA,2.236684385
RMV8_T20,Lex,1.496221351
RMV8_T20,Lex,1.461713764
RMV8_T20,Lex,1.523421396
RMV8_T20,int,1.499276697
RMV8_T20,int,1.553650585
RMV8_T20,int,1.483308874
RMV8_T60,rpoA,1.038694522
RMV8_T60,rpoA,0.962727874
RMV8_T60,rpoA,1.000022475
RMV8_T60,recA,0.942671716
RMV8_T60,recA,0.962806791
RMV8_T60,recA,0.963295709
RMV8_T60,rep,1.962318165
RMV8_T60,rep,1.949353221
RMV8_T60,rep,2.14498761
RMV8_T60,lytA,1.640682797
RMV8_T60,lytA,1.533431869
RMV8_T60,lytA,1.604081492
RMV8_T60,Lex,1.162075187
