mutants,gene,fold_change
recA_T0,rpoA,0.946257839
recA_T0,rpoA,0.940263244
recA_T0,rpoA,1.12393611
recA_T0,int,0.302640983
recA_T0,int,0.339592853
recA_T0,int,0.352087016
recA_T0,dnaC,0.046606966
recA_T0,dnaC,0.042719117
recA_T0,dnaC,0.04483152
recA_T0,lytA,0.026994745
recA_T0,lytA,0.027144481
recA_T0,lytA,0.029817649
recA_T0,reg,0.256598365
recA_T0,reg,0.238782781
recA_T0,reg,0.275797858
recA_T20,rpoA,0.954818292
recA_T20,rpoA,0.982653255
recA_T20,rpoA,1.0658094
recA_T20,int,0.507438793
recA_T20,int,0.522021163
recA_T20,int,0.511239352
recA_T20,dnaC,0.098839576
recA_T20,dnaC,0.098106487
recA_T20,dnaC,0.094555299
recA_T20,lytA,0.045847847
recA_T20,lytA,0.048838134
recA_T20,lytA,0.048347513
recA_T20,reg,0.378814425
recA_T20,reg,0.36426586
recA_T20,reg,0.352293493
recA_T60,rpoA,1.015054264
recA_T60,rpoA,1.005726368
recA_T60,rpoA,0.979559687
recA_T60,int,0.525291635
recA_T60,int,0.528444946
recA_T60,int,0.531048193
recA_T60,dnaC,0.098803386
recA_T60,dnaC,0.106888473
recA_T60,dnaC,0.10095275
recA_T60,lytA,0.055490427
recA_T60,lytA,0.055943593
recA_T60,lytA,0.053993344
recA_T60,reg,0.382893882
recA_T60,reg,0.377656299
recA_T60,reg,0.36349902
recA_T120,rpoA,1.009140026
recA_T120,rpoA,0.976096385
recA_T120,rpoA,1.015209945
recA_T120,int,0.699842573
recA_T120,int,0.693507597
recA_T120,int,0.676708347
recA_T120,dnaC,0.178892507
recA_T120,dnaC,0.178520865
recA_T120,dnaC,0.178780201
recA_T120,lytA,0.097448095
recA_T120,lytA,0.090569185
recA_T120,lytA,0.089261704
recA_T120,reg,0.51243739
recA_T120,reg,0.506080385
recA_T120,reg,0.506739184
recA_T20_CSP,rpoA,1.024539106
recA_T20_CSP,rpoA,0.983892115
recA_T20_CSP,rpoA,0.992026802
recA_T20_CSP,int,0.549476625
recA_T20_CSP,int,0.534981019
recA_T20_CSP,int,0.551436437
recA_T20_CSP,dnaC,0.031188103
recA_T20_CSP,dnaC,0.02963981
recA_T20_CSP,dnaC,0.026456294
recA_T20_CSP,lytA,0.009080598
recA_T20_CSP,lytA,0.008595553
