mutants,gene,relative_abundances,,
R6x_T20_CSP,rpoA,1025.817,,
R6x_T20_CSP,rpoA,1053.396,,
R6x_T20_CSP,rpoA,1133.072,,
R6x_T20_CSP,short_csRNA,4683.392,,
R6x_T20_CSP,short_csRNA,4903.502,,
R6x_T20_CSP,short_csRNA,4637.924,,
R6x_T20_CSP,long_csRNA,307.845,,
R6x_T20_CSP,long_csRNA,312.948,,
R6x_T20_CSP,modi_csRNA,7.002,,
R6x_T20_CSP,modi_csRNA,8.649,,
R6x_T20_CSP,modi_csRNA,5.462,,
R6x_modi_T20_CSP,rpoA,485.690,,
R6x_modi_T20_CSP,rpoA,461.904,,
R6x_modi_T20_CSP,rpoA,443.129,,
R6x_modi_T20_CSP,short_csRNA,5486.970,,
R6x_modi_T20_CSP,short_csRNA,2732.110,,
R6x_modi_T20_CSP,short_csRNA,2579.556,,
R6x_modi_T20_CSP,long_csRNA,49.615,,
R6x_modi_T20_CSP,long_csRNA,50.303,,
R6x_modi_T20_CSP,long_csRNA,50.871,,
R6x_modi_T20_CSP,modi_csRNA,39.369,,
R6x_modi_T20_CSP,modi_csRNA,38.663,,
R6x_modi_T20_CSP,modi_csRNA,40.834,,
R6x_T20_CSP,rpoA,1198.974,,
R6x_T20_CSP,rpoA,1237.656,,
R6x_T20_CSP,rpoA,1204.185,,
R6x_T20_CSP,short_csRNA,2702.042,,
R6x_T20_CSP,short_csRNA,2757.726,,
R6x_T20_CSP,short_csRNA,2817.235,,
R6x_T20_CSP,long_csRNA,31.516,,
R6x_T20_CSP,long_csRNA,32.461,,r
R6x_T20_CSP,long_csRNA,34.820,,
R6x_T20_CSP,modi_csRNA,5.701,,
R6x_T20_CSP,modi_csRNA,8.071,,
R6x_T20_CSP,modi_csRNA,7.340,,
R6x_modi_T20_CSP,rpoA,3798.709,,
R6x_modi_T20_CSP,rpoA,3610.258,,
R6x_modi_T20_CSP,rpoA,4253.906,,
R6x_modi_T20_CSP,short_csRNA,5256.207,,
R6x_modi_T20_CSP,short_csRNA,4910.759,,
R6x_modi_T20_CSP,short_csRNA,4928.798,,
R6x_modi_T20_CSP,long_csRNA,16.260,,
R6x_modi_T20_CSP,long_csRNA,10.277,,
R6x_modi_T20_CSP,long_csRNA,9.644,,
R6x_modi_T20_CSP,modi_csRNA,7.238,,
R6x_modi_T20_CSP,modi_csRNA,8.962,,
R6x_modi_T20_CSP,modi_csRNA,10.512,,
R6x_T20_CSP,rpoA,548.139,,
R6x_T20_CSP,rpoA,572.458,,
R6x_T20_CSP,rpoA,568.548,,
R6x_T20_CSP,short_csRNA,5158.895,,
R6x_T20_CSP,short_csRNA,5871.290,,
R6x_T20_CSP,short_csRNA,5086.253,,
R6x_T20_CSP,long_csRNA,14.866,,
R6x_T20_CSP,long_csRNA,12.978,,
R6x_T20_CSP,long_csRNA,11.233,,
R6x_T20_CSP,modi_csRNA,15.629,,
R6x_T20_CSP,modi_csRNA,18.698,,
R6x_T20_CSP,modi_csRNA,20.477,,
R6x_modi_T20_CSP,rpoA,490.400,,
R6x_modi_T20_CSP,rpoA,497.771,,
R6x_modi_T20_CSP,rpoA,496.736,,
R6x_modi_T20_CSP,short_csRNA,3388.526,,
R6x_modi_T20_CSP,short_csRNA,3152.711,,
R6x_modi_T20_CSP,short_csRNA,3278.955,,
R6x_modi_T20_CSP,long_csRNA,18.104,,
R6x_modi_T20_CSP,long_csRNA,19.587,,
R6x_modi_T20_CSP,long_csRNA,13.969,,
R6x_modi_T20_CSP,modi_csRNA,21.209,,
R6x_modi_T20_CSP,modi_csRNA,20.722,,
R6x_modi_T20_CSP,modi_csRNA,16.386,,
11930_T20_CSP,rpoA,690.273,,
11930_T20_CSP,rpoA,687.270,,
11930_T20_CSP,rpoA,685.164,,
11930_T20_CSP,short_csRNA,3969.014,,
11930_T20_CSP,short_csRNA,4184.935,,
11930_T20_CSP,short_csRNA,4093.300,,
11930_T20_CSP,long_csRNA,14.057,,
11930_T20_CSP,long_csRNA,19.828,,
11930_T20_CSP,long_csRNA,22.751,,
11930_T20_CSP,modi_csRNA,21.702,,
11930_T20_CSP,modi_csRNA,17.226,,
11930_T20_CSP,modi_csRNA,14.423,,
