mutants,ADbyAB
comEA_T0,0.012425696
comEA_T0,0.012591187
comEA_T0,0.012990358
comEA_T120,0.021226262
comEA_T120,0.021488507
comEA_T120,0.021097113
comEA_T120_CSP,0.01497066
comEA_T120_CSP,0.015156686
comEA_T120_CSP,0.015284952
comEA_T120_MMC,0.171112824
comEA_T120_MMC,0.170330401
comEA_T120_MMC,0.157506058
comEA_T0,0.005932321
comEA_T0,0.005780113
comEA_T0,0.005961968
comEA_T120,0.004373626
comEA_T120,0.004336702
comEA_T120,0.00444947
comEA_T120_CSP,0.003649474
comEA_T120_CSP,0.003721685
comEA_T120_CSP,0.003719769
comEA_T120_MMC,0.137148947
comEA_T120_MMC,0.133175157
comEA_T120_MMC,0.138110675
comEA_T0,0.005697537
comEA_T0,0.005737664
comEA_T0,0.00316341
comEA_T20,0.004930554
comEA_T20,0.004989944
comEA_T20,0.005079851
comEA_T60,0.01057807
comEA_T60,0.010377633
comEA_T60,0.011184093
comEA_T120,0.009689036
comEA_T120,0.009896411
comEA_T120,0.009834613
comEA_T20_CSP,0.005193299
comEA_T20_CSP,0.005446006
comEA_T20_CSP,0.005709561
comEA_T60_CSP,0.007406036
comEA_T60_CSP,0.007315985
comEA_T60_CSP,0.007241447
comEA_T120_CSP,0.005459269
comEA_T120_CSP,0.005571948
comEA_T120_CSP,0.005425222
comEA_T20_MMC,0.007642524
comEA_T20_MMC,0.007752735
comEA_T20_MMC,0.007158768
comEA_T60_MMC,0.034314458
comEA_T60_MMC,0.035741795
comEA_T60_MMC,0.034142406
comEA_T120_MMC,0.103855502
comEA_T120_MMC,0.117474486
comEA_T120_MMC,0.091750776
comEA_T20,0.015159906
comEA_T20,0.016074011
comEA_T20,0.015129415
comEA_T20_CSP,0.013250426
comEA_T20_CSP,0.012928226
comEA_T20_CSP,0.011198143
comEA_T20_MMC,0.015549443
comEA_T20_MMC,0.016199095
comEA_T20_MMC,0.016647756
comEA_T60,0.030351943
comEA_T60,0.025485121
comEA_T60,0.025159286
comEA_T60_CSP,0.017248067
comEA_T60_CSP,0.017235948
comEA_T60_CSP,0.016881905
comEA_T60_MMC,0.042591705
comEA_T60_MMC,0.053339291
comEA_T60_MMC,0.053510878
