gene,mutants,Fold_change
dprA,2743_T0,0.962213801
dprA,2743_T0,1.029183399
dprA,2743_T0,1.009796645
dprA,2743_T20,1.957677219
dprA,2743_T20,1.955282019
dprA,2743_T20,2.140058936
dprA,2743_T20_CSP,5.744732376
dprA,2743_T20_CSP,5.960761598
dprA,2743_T20_CSP,5.739775009
dprA,2743_T60,1.245292329
dprA,2743_T60,1.313386447
dprA,2743_T60,1.21766616
dprA,2743_T60_CSP,5.366071478
dprA,2743_T60_CSP,5.192703406
dprA,2743_T60_CSP,5.108431804
dprA,2743_T120,1.398236349
dprA,2743_T120,1.649938339
dprA,2743_T120,2.185813049
dprA,2743_T120_CSP,6.636343862
dprA,2743_T120_CSP,5.451853617
dprA,2743_T120_CSP,6.483828845
dprA,2743_T0,3.966271487
dprA,2743_T0,4.037643585
dprA,2743_T0,3.905397402
dprA,2743_T20,6.522207827
dprA,2743_T20,7.983844733
dprA,2743_T20,9.294782636
dprA,2743_T20_CSP,12.63466151
dprA,2743_T20_CSP,12.10644963
dprA,2743_T20_CSP,10.02186403
dprA,2743_T60,3.157554761
dprA,2743_T60,3.194023627
dprA,2743_T60,3.64795115
dprA,2743_T60_CSP,11.65230457
dprA,2743_T60_CSP,11.98136026
dprA,2743_T60_CSP,10.83377223
dprA,2743_T120,2.539464636
dprA,2743_T120,2.532514361
dprA,2743_T120,2.769767175
dprA,2743_T120_CSP,11.09673281
dprA,2743_T120_CSP,11.12692208
dprA,2743_T120_CSP,11.78981539
dprA,2743_prophage_T0,0.061060263
dprA,2743_prophage_T0,0.056267671
dprA,2743_prophage_T0,0.063509301
dprA,2743_prophage_T20,0.110668575
dprA,2743_prophage_T20,0.096145823
dprA,2743_prophage_T60,1.877016732
dprA,2743_prophage_T60,1.757810803
dprA,2743_prophage_T60,2.500657639
dprA,2743_prophage_T120,3.242780845
dprA,2743_prophage_T120,3.130011567
dprA,2743_prophage_T120,3.712672852
dprA,2743_prophage_T20_CSP,222.1753485
dprA,2743_prophage_T20_CSP,250.4349427
dprA,2743_prophage_T20_CSP,226.2971674
dprA,2743_prophage_T60_CSP,4.495709417
dprA,2743_prophage_T60_CSP,4.639527929
dprA,2743_prophage_T60_CSP,4.662266246
dprA,2743_prophage_T120_CSP,3.62645558
dprA,2743_prophage_T120_CSP,3.597056031
dprA,2743_prophage_T120_CSP,3.034516675
dprA,2743_prophage_T0,0.27180203
dprA,2743_prophage_T0,0.065684163
dprA,2743_prophage_T0,0.242896863
dprA,2743_prophage_T20,0.050637631
dprA,2743_prophage_T20,0.081013251
dprA,2743_prophage_T20,0.085228234
dprA,2743_prophage_T60,0.079963227
dprA,2743_prophage_T60,0.161325468
dprA,2743_prophage_T60,0.108073818
dprA,2743_prophage_T120,0.096869262
dprA,2743_prophage_T120,0.048639074
dprA,2743_prophage_T120,0.082805374
dprA,2743_prophage_T20_CSP,0.130930746
dprA,2743_prophage_T20_CSP,0.178440604
dprA,2743_prophage_T20_CSP,0.110769929
dprA,2743_prophage_T60_CSP,0.019410774
dprA,2743_prophage_T60_CSP,0.051711641
dprA,2743_prophage_T60_CSP,0.059845213
dprA,2743_prophage_T120_CSP,0.101896234
dprA,2743_prophage_T120_CSP,0.05986758
dprA,2743_prophage_T120_CSP,0.040684578
dprA,2743_prophage_T0,0.064796412
dprA,2743_prophage_T0,0.048928169
dprA,2743_prophage_T0,0.069405789
dprA,2743_prophage_T20,0.066960675
dprA,2743_prophage_T20,0.06378255
dprA,2743_prophage_T20,0.094333573
dprA,2743_prophage_T60,0.101653581
dprA,2743_prophage_T60,0.109606994
dprA,2743_prophage_T60,0.092756599
dprA,2743_prophage_T120,0.012825837
dprA,2743_prophage_T120,0.012387229
dprA,2743_prophage_T120,0.005294427
dprA,2743_prophage_T20_CSP,335.6292033
dprA,2743_prophage_T20_CSP,320.5831308
dprA,2743_prophage_T20_CSP,319.3998551
dprA,2743_prophage_T60_CSP,137.5135479
dprA,2743_prophage_T60_CSP,127.7832506
dprA,2743_prophage_T60_CSP,108.6705334
dprA,2743_prophage_T120_CSP,13.95602707
dprA,2743_prophage_T120_CSP,11.99814686
dprA,2743_prophage_T120_CSP,11.27272447
