Day,OD,Genotype,Rifampicin,Rif_volume,Rif_per_1,Kanamycin ,Kan_volume,Kan_per_1,Ratio
1,0.15,RMV8,63,1,63,890,100,8.9,0.141269841
1,0.22,2743,1072,10,107.2,2060,100,20.6,0.192164179
1,0.15,RMV4,153,10,15.3,94,100,0.94,0.061437908
1,0.15,RMV4_2743Φ,133,10,13.3,134,100,1.34,0.10075188
2,0.15,RMV8,19,1,19,266,20,13.3,0.7
2,0.3,2743,373,1,373,988,20,49.4,0.132439678
2,0.2,RMV4,79,10,7.9,89,100,0.89,0.112658228
2,0.16,RMV4_2743Φ,107,10,10.7,56,100,0.56,0.052336449
3,0.15,RMV8,59,1,59,262,10,26.2,0.444067797
3,0.3,2743,9,1,9,104,10,1.04,0.115555556
3,0.2,RMV4,240,10,24,228,100,2.28,0.095
3,0.16,RMV4_2743Φ,192,10,19.2,200,100,2,0.104166667
4,0.15,RMV8,96,1,96,482,20,24.1,0.251041667
4,0.24,RMV4,332,10,33.2,193,100,1.93,0.05813253
4,0.13,RMV4_2743Φ,104,10,10.4,73,100,0.73,0.070192308
5,0.17,RMV8,70,1,70,159,10,15.9,0.227142857
5,0.16,RMV8_lytAcat,0,1,0,6,10,0.6,0
5,0.28,RMV4,240,10,24,293,100,2.93,0.122083333
5,0.33,RMV4_intcat,233,10,23.3,238,100,2.38,0.102145923
5,0.27,RMV4_repcat,1,10,0.1,0,100,0,0
6,0.22,RMV4_lytAcat,358,10,35.8,261,100,2.61,0.072905028
6,0.35,RMV4_intcat,282,10,28.2,275,100,2.75,0.09751773
6,0.36,RMV4_repcat,0,30,0,1,300,0.01,0
6,0.21,RMV8_intcat,0,1,0,0,10,0,0
6,0.13,RMV8_lytAcat,0,10,0,0,100,0,0
7,0.15,RMV4_repcat,0,20,0,1,200,0.005,0
7,0.34,RMV4_intcat,377,10,37.7,571,200,2.855,0.075729443
7,0.38,RMV4_lytAcat,58,10,5.8,93,200,0.465,0.080172414
7,0.38,RMV8_lytAcat,170,10,17,1566,200,7.83,0.460588235
7,0.17,RMV8_intcat,2,1,2,14,10,1.4,0.7
7,0.37,08B02743_lytAcat,13,1,13,138,10,13.8,1.061538462
7,0.24,08B02743_repcat,92,1,92,261,10,26.1,0.283695652
8,0.15-0.35,08B02743_lytAcat,7,1,7,51,10,5.1,0.728571429
8,0.15-0.35,08B02743_repcat,57,1,57,108,10,10.8,0.189473684
8,0.15-0.35,08B02743_intcat,1,1,1,13,10,1.3,1.3
8,0.15-0.35,RMV4_intcat,79,10,7.9,91,100,0.91,0.115189873
8,0.15-0.35,RMV4_lytAcat,56,10,5.6,56,100,0.56,0.1
8,0.15-0.35,RMV4_repcat,1,100,0.01,1,500,0.002,0.2
8,0.15-0.35,RMV8_lytAcat,164,20,8.2,1300,200,6.5,0.792682927
8,0.15-0.35,RMV4_intcat,196,10,19.6,1454,100,14.54,0.741836735
9,0.15,RMV4_lytAcat,66,10,6.6,54,100,0.54,0.081818182
9,0.18,RMV4_repcat,628,200,3.14,184,800,0.23,0.073248408
9,0.12,RMV4_intcat,12,10,1.2,18,100,0.18,0.15
9,0.12,RMV8,9,1,9,57,10,5.7,0.633333333
9,0.17,RMV8_lytAcat,107,20,5.35,1184,200,5.92,1.106542056
9,0.21,RMV8_intcat,210,10,21,1127,100,11.27,0.536666667
9,0.29,08B02743_lytAcat,13,1,13,53,10,5.3,0.407692308
9,0.32,08B02743_repcat,44,1,44,102,10,10.2,0.231818182
9,0.17,08B02743_intcat,5,1,5,36,10,3.6,0.72
9,0.28,2743,7,1,7,14,10,1.4,0.2
10,0.16,RMV4_lytAcat,253,10,25.3,181,100,1.81,0.071541502
10,0.2,RMV4_repcat,130,10,13,112,100,1.12,0.086153846
10,0.14,RMV4_intcat,348,10,34.8,258,100,2.58,0.074137931
10,0.18,RMV8_lytAcat,45,1,45,280,10,28,0.622222222
10,0.19,RMV8_intcat,24,1,24,282,10,28.2,1.175
10,0.17,08B02743_lytAcat,32,1,32,57,10,5.7,0.178125
10,0.13,08B02743_repcat,99,1,99,179,10,17.9,0.180808081
10,0.27,08B02743_intcat,5,1,5,25,10,2.5,0.5
10,0.26,2743,17,1,17,31,10,3.1,0.182352941
