mutants,BCbyRpoA
2743_recA_T0,8.37318048
2743_recA_T0,8.186960047
2743_recA_T0,8.47522275
2743_recA_T20,11.27099127
2743_recA_T20,12.33034298
2743_recA_T20,10.31131108
2743_recA_T20_CSP,11.56415434
2743_recA_T20_CSP,9.265713549
2743_recA_T20_CSP,10.77622498
2743_recA_T20_MMC,10.81777987
2743_recA_T20_MMC,9.492255425
2743_recA_T20_MMC,10.89838506
2743_recA_T60,16.45915054
2743_recA_T60,18.87920557
2743_recA_T60,21.03867724
2743_recA_T60_CSP,19.34803437
2743_recA_T60_CSP,20.73527803
2743_recA_T60_CSP,20.03348466
2743_recA_T60_MMC,17.03510015
2743_recA_T60_MMC,16.63659442
2743_recA_T60_MMC,15.11346065
2743_recA_T120,23.95868721
2743_recA_T120,40.83652225
2743_recA_T120,34.5066281
2743_recA_T120_CSP,35.76438198
2743_recA_T120_CSP,32.58523588
2743_recA_T120_CSP,34.49375454
2743_recA_T120_MMC,69.62934239
2743_recA_T120_MMC,58.20282843
2743_recA_T120_MMC,52.79086082
2743_recA_T0,51.40420979
2743_recA_T0,64.64222383
2743_recA_T0,54.77209548
2743_recA_T20,11.13540846
2743_recA_T20,38.44336281
2743_recA_T20,23.87863183
2743_recA_T20_CSP,12.34513747
2743_recA_T20_CSP,8.157680644
2743_recA_T20_CSP,9.228649737
2743_recA_T20_MMC,36.48416944
2743_recA_T20_MMC,30.87585081
2743_recA_T20_MMC,41.37031465
2743_recA_T60,33.18287428
2743_recA_T60,65.77911943
2743_recA_T60,58.69561173
2743_recA_T60_CSP,28.94435612
2743_recA_T60_CSP,25.16258347
2743_recA_T120,62.92379494
2743_recA_T120,37.98544156
2743_recA_T120_CSP,61.69042849
2743_recA_T120_CSP,67.85712905
2743_recA_T120_CSP,64.25510099
2743_recA_T0,27.10598346
2743_recA_T0,24.44139069
2743_recA_T0,37.18067713
2743_recA_T20,29.28003535
2743_recA_T20,48.74433798
2743_recA_T20,60.87332111
2743_recA_T20_CSP,35.19258758
2743_recA_T20_CSP,58.49138367
2743_recA_T20_CSP,57.10623114
2743_recA_T20_MMC,64.34975116
2743_recA_T20_MMC,57.41635038
2743_recA_T20_MMC,61.19602076
2743_recA_T60,71.58090546
2743_recA_T60,102.9085052
2743_recA_T60,91.73723705
2743_recA_T60_CSP,90.50316899
2743_recA_T60_CSP,15.55969586
2743_recA_T60_CSP,66.28666345
2743_recA_T60_MMC,68.78142518
2743_recA_T60_MMC,74.81030487
2743_recA_T60_MMC,63.81149722
2743_recA_T120,68.20997755
2743_recA_T120,85.69435747
2743_recA_T120,65.77161521
2743_recA_T120_CSP,66.74903083
2743_recA_T120_CSP,86.18848709
2743_recA_T120_CSP,71.71463406
2743_recA_T120_MMC,34.90697561
2743_recA_T120_MMC,76.83989727
2743_recA_T120_MMC,43.50599814
2743_recA_T60_MMC,12.18854968
2743_recA_T60_MMC,15.29130187
2743_recA_T60_MMC,11.58073664
2743_recA_T120_MMC,13.04071071
2743_recA_T120_MMC,15.05198924
2743_recA_T120_MMC,23.65501199
