mutants,Transformation_efficiency
dut_up_KO,0.034615385
dut_up_KO,0.0046875
dut_up_KO,0.008793103
dut_up_KO,0.000428571
dut_up_KO,0.000943396
11930,0.591304348
11930,0.068965517
11930,1.330612245
11930,1.208
dut_up_KO_R6xGD,2.272463768
dut_up_KO_R6xGD,4.148148148
dut_up_KO_R6xGD,7.446153846
dut_up_KO_R6xGD,3.213483146
11930 dut::Janus (1-3) +11930 GD,1.087640449
11930 dut::Janus (1-3) +11930 GD,1.152
11930 dut::Janus (1-3) +11930 GD,1.577464789
dut_up_KO_R6x_modified_GD,3.163636364
dut_up_KO_R6x_modified_GD,2
dut_up_KO_R6x_modified_GD,4.240963855
dut_up_KO_R6x_modified_GD,6.981132075
dut_up_KO_R6_PCR,1.648148148
dut_up_KO_R6_PCR,2.330357143
dut_up_KO_R6_PCR,4
dut_up_KO_R6_PCR,5.033333333
dut_up_KO_11930_PCR,0.851948052
dut_up_KO_11930_PCR,0.618604651
dut_up_KO_11930_PCR,0.831683168
dut_up_KO_11930_PCR,0.620253165
