mutants,Count_rif,Vol_rif,Count_kan,Vol_kan,ratio,
2743 ivr tvr,408,2.5,636,2.5,1.558823529,
2743 ivr tvr,234,5,236,5,1.008547009,
2743 ivr tvr immA::cat,170,2.5,320,2.5,1.882352941,
2743 ivr tvr immA::cat,320,5,606,5,1.89375,
2743 ivr tvr lytA::cat,546,2.5,488,2.5,0.893772894,
2743 ivr tvr,8,2,10,2,1.25,
2743 ivr tvr immA::cat,42,2,30,2,0.714285714,
2743 ivr tvr immA::cat,944,2,790,2,0.836864407,
2743 ivr tvr rep::cat,16,2,9,2,0.5625,
2743 ivr tvr lytA::cat,37,2,24,2,0.648648649,
2743 ivr tvr int::cat,720,2,378,2,0.525,
