mutants,condition,deletions
partial 1,50ng,0.089285714
partial 1,200ng,0.373255814
partial 3,50ng,0.01884058
partial 3,200ng,0.042892157
ssbB,50ng,0.027586207
partial 1,50ng,0.043870968
partial 1,200ng,0.099145299
partial 3,50ng,0.004263566
partial 3,200ng,0.007967033
ssbB,50ng,0.008860759
ssbB,200ng,0.056896552
partial 1,50ng,0.058125
partial 1,200ng,0.18410596
partial 3,50ng,0.029683698
partial 3,200ng,0.095333333
ssbB,50ng,0.002518892
ssbB,200ng,0.055430712
lytA,50ng,0.026666667
lytA,200ng,0.044444444
partial 1,50ng,0.130487805
partial 1,200ng,0.146590909
partial 3,50ng,0.055555556
partial 3,200ng,0.099418605
ssbB,50ng,0.016842105
ssbB,200ng,0.082730924
lytA,50ng,0.026136364
lytA,200ng,0.075555556
partial 1,50ng,0.128985507
partial 1,200ng,0.195918367
partial 3,50ng,0.085714286
partial 3,200ng,0.096153846
lytA,200ng,0.07
ssbB,50ng,0.017307692
ssbB,200ng,0.072972973
