mutants,Transformation_efficiency
2743,1.403389831
2743,1.420689655
2743,3.826086957
2743,0.648780488
2743_prophage_KO,52.8
2743_prophage_KO,21.13580247
2743_prophage_KO,15.2
2743_prophage_KO,10.34520548
2743,1.126666667
2743,1.181818182
2743_prophage_KO,14.30555556
2743_prophage_KO,23.78787879
2743_zincKO,1.685393258
2743_zincKO,3.8
2743_zincKO,4.358974359
2743_lytAKO,0.115740741
2743_lytAKO,0.165
2743_lytAKO,0.282608696
2743_prophage_KO,64.12698413
2743_prophage_KO,64.86486486
2743_prophage_KO,21.06666667
