Genotype,Rifampicin,Rif_volume,Rif_per_1,Kanamycin,Kan_volume,Kan_per_1,Ratio
2743 ivr tvrR,70,10,70,39,10,39,0.557142857
2743 ivr tvrR int::cat,133,10,133,67,10,67,0.503759398
2743 ivr tvrR int::cat,29,10,29,93,10,93,3.206896552
2743 ivr tvrR,14,10,14,27,10,27,1.928571429
2743 ivr tvrR int::cat,35,10,35,32,10,32,0.914285714
2743 ivr tvrR,41,10,41,90,10,90,2.195121951
2743 ivr tvrR int::cat,38,10,38,83,10,83,2.184210526
2743 ivr tvrR lytA::cat,54,10,54,94,10,94,1.740740741
2743 ivr tvrR lytA::cat,199,10,199,322,10,322,1.618090452
2743 ivr tvrR,61,5,12.2,149,5,29.8,2.442622951
2743 ivr tvrR int::cat,70,5,14,114,5,22.8,1.628571429
2743 ivr tvrR lytA::cat,48,5,9.6,175,5,35,3.645833333
2743 ivr tvrR rep::cat,32,5,6.4,342,5,68.4,10.6875
2743 ivr tvrR,13,2.5,5.2,23,2.5,9.2,1.769230769
2743 ivr tvrR int::cat,18,2.5,7.2,9,2.5,3.6,0.5
2743 ivr tvrR lytA::cat,22,2.5,8.8,50,2.5,20,2.272727273
2743 ivr tvrR rep::cat,5,2.5,2,20,2.5,8,4
2743 ivr tvrR,56,5,11.2,306,5,61.2,5.464285714
2743 ivr tvrR rep::cat,59,5,11.8,870,5,174,14.74576271
2743 ivr tvrR int::cat,30,5,6,228,5,45.6,7.6
2743 ivr tvrR lytA::cat,90,5,18,241,5,48.2,2.677777778
