Mutants,Rif colonies,Volume,per_1,Kan_colonies,Volume,per_1,Transformation efficiency
RMV8,31,1,31,35,1,35,1.129032258
RMV8,37,1,37,38,1,38,1.027027027
RMV8_lytA_KO,9,1,9,171,1,171,19
RMV8_lytA_KO,9,1,9,152,1,152,16.88888889
RMV8_rep_KO,5,1,5,219,1,219,43.8
RMV8_rep_KO,12,1,12,128,1,128,10.66666667
RMV8_intcat,21,1,21,58,1,58,2.761904762
RMV8_intcat,10,1,10,77,1,77,7.7
RMV8,7,1,7,17,1,17,2.428571429
RMV8_lytA_KO,7,1,7,69,1,69,9.857142857
RMV8_lytA_KO,4,1,4,63,1,63,15.75
RMV8_rep_KO,17,1,17,171,1,171,10.05882353
RMV8_rep_KO,13,1,13,74,1,74,5.692307692
RMV8_intcat,33,1,33,87,1,87,2.636363636
RMV8_intcat,76,1,76,106,1,106,1.394736842
RMV8,228,5,45.6,222,5,44.4,0.973684211
RMV8,358,5,71.6,364,5,72.8,1.016759777
RMV8_lytA_KO,221,5,44.2,386,2,193,4.366515837
RMV8_lytA_KO,68,2,13.6,59,2,29.5,2.169117647
RMV8_rep_KO,9,2,1.8,102,2,51,28.33333333
RMV8_rep_KO,25,5,5,286,2,143,28.6
RMV8_intcat,12,2,2.4,168,2,84,35
RMV8_intcat,49,5,9.8,427,2,213.5,21.78571429
RMV8,65,2,32.5,103,1,103,3.169230769
RMV8_lytA_KO,307,2,153.5,222,1,222,1.446254072
RMV8_rep_KO,184,2,92,112,1,112,1.217391304
RMV8_intcat,5,2,2.5,33,1,33,13.2
RMV8_lytA_KO,75,3,25,468,2,234,9.36
RMV8_rep_KO,33,3,11,197,2,98.5,8.954545455
RMV8_intcat,262,3,87.33333333,242,2,121,1.385496183
RMV8,83,2,41.5,51,1,51,1.228915663
RMV8,6,2,3,4,1,4,1.333333333
RMV8_lytA_KO,22,2,11,35,1,35,3.181818182
RMV8_rep_KO,77,2,38.5,117,1,117,3.038961039
RMV8_intcat,9,2,4.5,73,1,73,16.22222222
RMV8,10,2.5,4,47,2.5,18.8,4.7
RMV8_intcat,3,2.5,1.2,25,2.5,10,8.333333333
RMV8_intcat,2,2.5,0.8,57,2.5,22.8,28.5
RMV8_rep_KO,14,2.5,5.6,19,2.5,7.6,1.357142857
RMV8_lytA_KO,6,2.5,2.4,23,2.5,9.2,3.833333333
RMV8_intcat,9,7.5,1.2,140,7.5,18.66666667,15.55555556
RMV8,164,7.5,21.86666667,198,7.5,26.4,1.207317073
RMV8_lytA_KO,51,5,10.2,388,5,77.6,7.607843137
RMV8,72,5,14.4,234,5,46.8,3.25
RMV8_rep_KO,28,5,5.6,358,5,71.6,12.78571429
RMV8,102,5,20.4,5,68,13.6,0.666666667
RMV8_intcat,80,5,16,5,335,67,4.1875
RMV8_lytA_KO,5,5,1,5,24,4.8,4.8
RMV8_intcat,14,10,1.4,112,2.5,44.8,32
RMV8_lytA_KO,32,10,3.2,155,2.5,62,19.375
RMV8_rep_KO,26,10,2.6,7,2.5,2.8,1.076923077
RMV8,156,5,31.2,178,2.5,71.2,2.282051282
RMV8_intcat,22,10,2.2,77,2.5,30.8,14
RMV8_lytA_KO,171,10,17.1,82,2.5,32.8,1.918128655
RMV8_rep_KO,23,10,2.3,110,2.5,44,19.13043478
