mutants,conditions,Transformation_efficiency
R6x,Mix,2.477876106
R6x,Mix,3.714285714
R6x,Mix,2.380952381
R6x_upstream_dut_Jan,Mix,0.00036036
R6x_upstream_dut_Jan,Mix,0.003814433
R6x_upstream_dut_Jan,Mix,0.000833333
R6x_upstream_dut_Jan,Mix,0.000205479
R6x_upstream_dut_Jan,Mix,0.00049505
R6x_upstream_dut_Jan,Mix,0.003496503
R6x_dut_gene_KO,Mix,1.8359375
R6x_dut_gene_KO,Mix,14.59183673
R6x_dut_gene_KO,Mix,1.3
R6x_dut_gene_KO,Mix,0.574712644
R6x_dut_gene_KO,Mix,0.625
R6x,CDM,40
R6x_modified_csRNA,CDM,3.6
R6x_modified_complemented,CDM,24.09090909
R6x_upstream_dut_Jan,CDM,0.184615385
R6x_upstream_dut_Jan,CDM,0.1625
R6x,CDM,54
R6x_modified_csRNA,CDM,11.53846154
R6x_modified_csRNA,CDM,10
R6x_modified_complemented,CDM,97.27272727
R6x_upstream_dut_Jan,CDM,4.888888889
R6x,CDM,20.52631579
R6x_modified_csRNA,CDM,4.137931034
R6x_upstream_dut_Jan,CDM,0.673684211
R6x_upstream_dut_Jan,CDM,0.08
R6x_upstream_dut_Jan,CDM,1.04
R6x,THY,1.361256545
R6x_modified_csRNA,THY,0.543478261
R6x_modified_csRNA,THY,0.6796875
R6x_modified_complemented,THY,0.183628319
R6x_modified_complemented,THY,0.106435644
R6x_upstream_dut_Jan,THY,0.016949153
R6x_upstream_dut_Jan,THY,0.010674157
R6x,THY,0.319148936
R6x_modified_csRNA,THY,0.333333333
R6x_modified_complemented,THY,0.4
R6x_upstream_dut_Jan,Mix,0.008012821
R6x_upstream_dut_Jan,Mix,0.023287671
R6x,Mix,1.717791411
R6x_modified_csRNA,Mix,6.173913043
R6x_modified_csRNA,Mix,1.405228758
R6x_modified_complemented,Mix,7.685950413
R6x,Mix,8.666666667
R6x_modified_csRNA,Mix,5.763888889
R6x_modified_complemented,Mix,2.842105263
R6x,THY,0.037815126
R6x,THY,0.145833333
R6x_modified_complemented,THY,0.005952381
R6x_modified_complemented,THY,0.291284404
R6x_modified_csRNA,THY,0.25
R6x_dut_gene_KO,THY,0.061538462
R6x_dut_gene_KO,THY,0.16576087
R6x_dut_gene_KO,THY,0.086206897
R6x_upstream_dut_Jan,THY,0
R6x,CDM,35.22727273
R6x_modified_csRNA,CDM,12.14285714
R6x_modified_csRNA,CDM,13.25
R6x_modified_complemented,CDM,23.18181818
R6x,CDM,45.71428571
R6x_modified_complemented,CDM,70.90909091
R6x_modified_csRNA,CDM,5.652173913
R6x_dut_gene_KO,CDM,2.75
R6x_dut_gene_KO,CDM,0
R6x_11930_phage,CDM,12.05882353
R6x_11930_phage,CDM,4.761904762
R6x_11930_phage,CDM,6.923076923
R6x_11930_phage,CDM,20
R6x,CDM,20
R6x_dut_gene_KO,CDM,11.875
R6x_dut_gene_KO,CDM,7.142857143
R6x_modified_csRNA,CDM,22.97297297
R6x_modified_complemented,CDM,48.63636364
R6x_11930_phage,CDM,12
R6x_11930_phage,CDM,18.84615385
R6x_upstream_dut_Jan,CDM,0.733333333
R6x_dut_gene_KO,CDM,8.8
R6x_dut_gene_KO,CDM,26.875
R6x,CDM,14
R6x,CDM,6.428571429
R6x,CDM,1.621621622
R6x_modified_csRNA,CDM,10.55555556
R6x_modified_csRNA,CDM,23.33333333
R6x_dut_gene_KO,CDM,13.88888889
R6x_dut_gene_KO,CDM,13.68421053
R6x_modified_complemented,CDM,28.91891892
R6x_modified_complemented,CDM,31.42857143
R6x_11930_phage,CDM,11.66666667
R6x_11930_phage,CDM,14
R6x_upstream_dut_Jan,CDM,2.017391304
R6x,Mix,8.333333333
R6x_modified_csRNA,Mix,20.48780488
R6x_modified_complemented,Mix,21.91780822
R6x_dut_gene_KO,Mix,8.598130841
R6x_11930_phage,Mix,35.83333333
R6x_upstream_dut_Jan,Mix,0.088674699
