phage,genotype,time,rif_per_ul,kan_per_ul,replicate
RMV8,RMV8,20,0,1.36,3
RMV8,RMV8 prophage::cat,20,0,0.72,3
RMV8,RMV8 Integrase::cat,20,0.06,3.72,3
RMV8,RMV8 lytA::cat,20,0.02,0.62,3
RMV8,RMV8,60,0.6,11.4,3
RMV8,RMV8 prophage::cat,60,2.1,19.3,3
RMV8,RMV8 Integrase::cat,60,2.65,31.65,3
RMV8,RMV8 lytA::cat,60,1.5,33.3,3
RMV8,RMV8,120,154.4,132.8,3
RMV8,RMV8 prophage::cat,120,119.6,150.4,3
RMV8,RMV8 Integrase::cat,120,66,112.8,3
RMV8,RMV8 lytA::cat,120,19,57.6,3
RMV8,RMV8,240,356.8,132.8,3
RMV8,RMV8 prophage::cat,240,212.8,112,3
RMV8,RMV8 Integrase::cat,240,104,80.4,3
RMV8,RMV8 lytA::cat,240,28.4,21.2,3
RMV8,RMV8,20,0,7.92,2
RMV8,RMV8 prophage::cat,20,0.02,6,2
RMV8,RMV8 Integrase::cat,20,0.1,17.56,2
RMV8,RMV8 lytA::cat,20,0,0.98,2
RMV8,RMV8,60,1.3,26.8,2
RMV8,RMV8 prophage::cat,60,1.8,17.2,2
RMV8,RMV8 Integrase::cat,60,5.7,89.1,2
RMV8,RMV8 lytA::cat,60,0.1,10.5,2
RMV8,RMV8,120,13.6,44.6,2
RMV8,RMV8 prophage::cat,120,21,72,2
RMV8,RMV8 Integrase::cat,120,31.4,156.4,2
RMV8,RMV8 lytA::cat,120,4,16,2
RMV8,RMV8,240,40.5,62.5,2
RMV8,RMV8 prophage::cat,240,69,98,2
RMV8,RMV8 Integrase::cat,240,34.5,176,2
RMV8,RMV8 lytA::cat,240,1.5,21,2
RMV8,RMV8,20,0,1.36,1
RMV8,RMV8 prophage::cat,20,0,0.72,1
RMV8,RMV8 Integrase::cat,20,0.06,3.72,1
RMV8,RMV8 lytA::cat,20,0.02,0.62,1
RMV8,RMV8,60,0.6,11.4,1
RMV8,RMV8 prophage::cat,60,2.1,19.3,1
RMV8,RMV8 Integrase::cat,60,2.65,31.65,1
RMV8,RMV8 lytA::cat,60,1.5,33.3,1
RMV8,RMV8,120,1.6,17.2,1
RMV8,RMV8 prophage::cat,120,13.8,38.8,1
RMV8,RMV8 Integrase::cat,120,12.4,92,1
RMV8,RMV8 lytA::cat,120,8.8,94,1
RMV8,RMV8,240,10.4,16.8,1
RMV8,RMV8 prophage::cat,240,48.4,48.8,1
RMV8,RMV8 Integrase::cat,240,10.8,77.2,1
RMV8,RMV8 lytA::cat,240,3.6,71.2,1
RMV8,RMV8,960,0.56,1.2,1
RMV8,RMV8 prophage::cat,960,1.56,0.6,1
RMV8,RMV8 Integrase::cat,960,0.6,2.6,1
RMV8,RMV8 lytA::cat,960,0.32,2,1
