,Query,Database,Length,Evalue
0,phi04_0922.fa,23495_7_14,33422,0.0
2,phi04_0922.fa,21946_6_33,33422,0.0
4,phi04_0922.fa,21946_6_272,33422,0.0
6,phi04_0922.fa,21946_6_181,33422,0.0
8,phi04_0922.fa,21903_8_93,33422,0.0
10,phi04_0922.fa,21903_8_89,33422,0.0
12,phi04_0922.fa,21903_8_81,33422,0.0
14,phi04_0922.fa,21903_8_149,33422,0.0
16,phi04_0922.fa,21903_6_180,33422,0.0
18,phi04_0922.fa,21903_6_172,33422,0.0
20,phi04_0922.fa,21903_6_172,33422,0.0
22,phi04_0922.fa,15682_2_44,33422,0.0
23,phi04_0922.fa,15682_1_44,33422,0.0
25,phi04_0922.fa,14673_1_79,33422,0.0
30,phi04_0922.fa,13353_7_3,33422,0.0
32,phi04_0922.fa,21946_6_325,33422,0.0
34,phi04_0922.fa,21946_6_24,33422,0.0
36,phi04_0922.fa,21946_6_144,33422,0.0
38,phi04_0922.fa,21127_1_99,33422,0.0
41,phi04_0922.fa,21127_1_79,33422,0.0
44,phi04_0922.fa,19084_8_95,33422,0.0
48,phi04_0922.fa,17966_5_126,33422,0.0
50,phi04_0922.fa,14673_4_45,33422,0.0
52,phi04_0922.fa,7622_4_37,33422,0.0
54,phi04_0922.fa,21999_7_106,33422,0.0
56,phi04_0922.fa,21903_8_75,33422,0.0
59,phi04_0922.fa,21242_2_143,33422,0.0
62,phi04_0922.fa,14673_3_36,33422,0.0
65,phi04_0922.fa,12291_3_56,33422,0.0
68,phi04_0922.fa,21946_6_23,33418,0.0
70,phi04_0922.fa,21946_6_4,33413,0.0
72,phi04_0922.fa,13414_3_44,33422,0.0
75,phi04_0922.fa,12291_1_85,33422,0.0
80,phi04_0922.fa,6470_5_16,33422,0.0
86,phi04_0922.fa,14673_1_57,33422,0.0
90,phi04_0922.fa,22695_3_14,33298,0.0
91,phi04_0922.fa,13414_2_21,33138,0.0
92,phi04_0922.fa,11658_8_8,33423,0.0
96,phi04_0922.fa,19084_7_140,33423,0.0
100,phi04_0922.fa,22695_3_174,30621,0.0
105,phi04_0922.fa,21999_7_174,30621,0.0
111,phi04_0922.fa,21999_7_108,30621,0.0
116,phi04_0922.fa,21999_7_104,30621,0.0
121,phi04_0922.fa,21127_2_70,30621,0.0
127,phi04_0922.fa,21127_2_58,30621,0.0
132,phi04_0922.fa,21127_2_167,30621,0.0
138,phi04_0922.fa,21127_2_141,30621,0.0
140,phi04_0922.fa,21999_8_93,30621,0.0
146,phi04_0922.fa,21999_8_109,30621,0.0
150,phi04_0922.fa,21242_2_130,30621,0.0
154,phi04_0922.fa,21127_2_88,30621,0.0
157,phi04_0922.fa,21127_2_106,30621,0.0
163,phi04_0922.fa,21999_8_73,30621,0.0
169,phi04_0922.fa,21127_2_92,30621,0.0
174,phi04_0922.fa,21127_2_21,30621,0.0
179,phi04_0922.fa,21127_2_144,30621,0.0
184,phi04_0922.fa,21999_7_157,30632,0.0
190,phi04_0922.fa,21999_7_103,30622,0.0
196,phi04_0922.fa,19084_8_87,30622,0.0
202,phi04_0922.fa,22984_8_46,28537,0.0
205,phi04_0922.fa,22695_3_110,28537,0.0
208,phi04_0922.fa,21946_6_260,28537,0.0
211,phi04_0922.fa,14520_6_22,25683,0.0
215,phi04_0922.fa,19183_3_45,25687,0.0
220,phi04_0922.fa,21999_8_100,22575,0.0
227,phi04_0922.fa,7038_8_26,22576,0.0
233,phi04_0922.fa,7011_4_7,22576,0.0
239,phi04_0922.fa,6972_2_6,22576,0.0
245,phi04_0922.fa,6925_3_2,22576,0.0
251,phi04_0922.fa,6871_1_10,22576,0.0
257,phi04_0922.fa,6841_7_7,22576,0.0
263,phi04_0922.fa,6823_5_22,22576,0.0
269,phi04_0922.fa,6807_3_12,22576,0.0
273,phi04_0922.fa,6805_3_9,22576,0.0
279,phi04_0922.fa,6775_1_21,22576,0.0
285,phi04_0922.fa,6753_3_5,22576,0.0
291,phi04_0922.fa,6730_6_5,22576,0.0
295,phi04_0922.fa,6730_6_12,22576,0.0
301,phi04_0922.fa,6714_7_14,22576,0.0
305,phi04_0922.fa,6710_8_7,22576,0.0
311,phi04_0922.fa,6680_8_13,22576,0.0
317,phi04_0922.fa,6680_6_5,22576,0.0
323,phi04_0922.fa,6664_1_12,22576,0.0
329,phi04_0922.fa,6641_6_3,22576,0.0
333,phi04_0922.fa,6631_7_7,22576,0.0
339,phi04_0922.fa,6631_6_2,22576,0.0
345,phi04_0922.fa,6631_6_1,22576,0.0
351,phi04_0922.fa,6631_5_22,22576,0.0
357,phi04_0922.fa,6631_5_10,22576,0.0
363,phi04_0922.fa,6631_3_5,22576,0.0
369,phi04_0922.fa,6631_1_7,22576,0.0
371,phi04_0922.fa,6630_4_18,22576,0.0
375,phi04_0922.fa,19084_8_30,22575,0.0
381,phi04_0922.fa,6805_2_1,22576,0.0
384,phi04_0922.fa,6641_6_10,22576,0.0
390,phi04_0922.fa,6631_2_19,22576,0.0
396,phi04_0922.fa,12291_3_58,22630,0.0
401,phi04_0922.fa,19084_8_76,20086,0.0
402,phi04_0922.fa,21903_8_212,19376,0.0
409,phi04_0922.fa,6731_2_21,17290,0.0
410,phi04_0922.fa,6259_8_22,17299,0.0
411,phi04_0922.fa,22841_2_129,18758,0.0
422,phi04_0922.fa,22695_3_133,16646,0.0
429,phi04_0922.fa,14520_6_28,17698,0.0
435,phi04_0922.fa,11658_2_21,16815,0.0
439,phi04_0922.fa,14410_5_14,17698,0.0
446,phi04_0922.fa,14410_4_12,17698,0.0
451,phi04_0922.fa,12162_1_13,17747,0.0
458,phi04_0922.fa,14520_6_23,17698,0.0
467,phi04_0922.fa,15531_6_35,17698,0.0
472,phi04_0922.fa,14410_6_22,17698,0.0
477,phi04_0922.fa,14410_6_13,17698,0.0
482,phi04_0922.fa,14410_5_66,17698,0.0
494,phi04_0922.fa,14520_6_51,17698,0.0
499,phi04_0922.fa,10395_5_33,17698,0.0
508,phi04_0922.fa,14520_6_40,17698,0.0
529,phi04_0922.fa,11658_2_14,17123,0.0
532,phi04_0922.fa,14520_6_41,17699,0.0
542,phi04_0922.fa,16399_6_39,17696,0.0
549,phi04_0922.fa,14520_4_38,17696,0.0
556,phi04_0922.fa,19084_8_38,17123,0.0
562,phi04_0922.fa,15873_4_62,17699,0.0
570,phi04_0922.fa,21127_2_112,17126,0.0
576,phi04_0922.fa,11657_8_56,17126,0.0
582,phi04_0922.fa,11658_2_15,17126,0.0
588,phi04_0922.fa,7038_4_8,17580,0.0
596,phi04_0922.fa,7011_5_5,17580,0.0
604,phi04_0922.fa,7004_5_23,17580,0.0
612,phi04_0922.fa,6938_7_8,17580,0.0
620,phi04_0922.fa,6470_6_13,17753,0.0
625,phi04_0922.fa,19084_7_138,16628,0.0
649,phi04_0922.fa,17794_7_48,16389,0.0
757,phi04_0922.fa,22027_1_39,16389,0.0
810,phi04_0922.fa,10395_5_61,16382,0.0
824,phi04_0922.fa,10395_5_54,16382,0.0
829,phi04_0922.fa,19084_8_33,15246,0.0
837,phi04_0922.fa,19084_7_168,15246,0.0
843,phi04_0922.fa,19084_7_148,15246,0.0
851,phi04_0922.fa,19341_2_81,16317,0.0
871,phi04_0922.fa,20925_3_100,16317,0.0
900,phi04_0922.fa,11679_1_89,15468,0.0
937,phi04_0922.fa,19084_8_92,14859,0.0
943,phi04_0922.fa,19084_8_44,14859,0.0
951,phi04_0922.fa,19084_7_177,14856,0.0
957,phi04_0922.fa,11657_4_95,14859,0.0
965,phi04_0922.fa,12291_3_60,14860,0.0
971,phi04_0922.fa,13154_2_38,14856,0.0
981,phi04_0922.fa,19084_8_54,14857,0.0
1165,phi04_0922.fa,15531_2_37,15918,0.0
1192,phi04_0922.fa,14723_4_20,14944,0.0
1197,phi04_0922.fa,17175_4_27,14944,0.0
1207,phi04_0922.fa,15841_1_83,14944,0.0
1211,phi04_0922.fa,15841_1_70,14944,0.0
1214,phi04_0922.fa,15841_1_61,14944,0.0
1222,phi04_0922.fa,13415_8_58,14944,0.0
1228,phi04_0922.fa,13415_6_15,14944,0.0
1242,phi04_0922.fa,14913_7_10,14944,0.0
1259,phi04_0922.fa,21903_8_247,14581,0.0
1262,phi04_0922.fa,17138_4_48,14945,0.0
1275,phi04_0922.fa,11860_8_47,14949,0.0
1296,phi04_0922.fa,21127_2_188,13876,0.0
1305,phi04_0922.fa,18090_2_21,13873,0.0
1310,phi04_0922.fa,18090_2_11,13873,0.0
1315,phi04_0922.fa,6673_8_2,13870,0.0
1318,phi04_0922.fa,19183_3_87,13876,0.0
1321,phi04_0922.fa,19183_3_58,13876,0.0
1323,phi04_0922.fa,13710_1_46,13872,0.0
1326,phi04_0922.fa,13414_1_89,13869,0.0
1331,phi04_0922.fa,6823_5_11,13874,0.0
1334,phi04_0922.fa,6823_3_4,13874,0.0
1340,phi04_0922.fa,6925_3_3,13875,0.0
1343,phi04_0922.fa,6631_2_6,13875,0.0
1347,phi04_0922.fa,6983_4_94,13875,0.0
1366,phi04_0922.fa,6641_6_20,13875,0.0
1371,phi04_0922.fa,6630_4_24,13137,0.0
1386,phi04_0922.fa,6472_7_2,13869,0.0
1394,phi04_0922.fa,14936_4_12,13869,0.0
1399,phi04_0922.fa,14913_7_28,13872,0.0
1408,phi04_0922.fa,14410_7_83,13871,0.0
1412,phi04_0922.fa,11860_8_58,13871,0.0
