prophage,length,regulator
6999_2_7.fa_57,51,Peptidase_S24
6930_8_22.fa_66,58,DUF955
7553_5_82.fa_67,57,DUF955
7001_1_17.fa_73,59,DUF955
7553_5_93.fa_83,6,None
7553_5_93.fa_86,4,None
7553_5_93.fa_87,4,None
7553_5_93.fa_89,45,DUF955
7553_5_93.fa_2333,48,DUF955
6999_1_8.fa_175,61,Peptidase_S24
6999_3_4.fa_182,60,DUF955
7001_3_17.fa_189,48,DUF955
7001_3_17.fa_2348,7,None
7622_5_88.fa_2353,53,Peptidase_S24
7622_5_88.fa_2354,50,DUF955
6952_4_5.fa_283,47,DUF955
6952_4_5.fa_284,6,None
6930_8_11.fa_308,9,None
6930_8_11.fa_309,44,DUF955
7622_4_44.fa_2370,51,DUF955
6925_2_82.fa_2371,55,Peptidase_S24
6925_2_82.fa_2372,31,Peptidase_S24
7001_2_5.fa_398,4,None
7001_2_5.fa_399,3,None
7001_2_5.fa_400,6,None
7001_2_5.fa_401,16,None
7001_2_5.fa_402,3,None
7001_2_5.fa_404,15,None
7001_2_5.fa_406,3,None
7001_2_5.fa_408,19,None
6925_2_79.fa_424,56,DUF955
7553_4_34.fa_438,59,Peptidase_S24
7622_3_59.fa_466,59,Peptidase_S24
6930_8_12.fa_473,61,DUF955
6930_8_10.fa_481,53,DUF955
6952_4_7.fa_2382,57,Peptidase_S24
7622_3_71.fa_508,48,Peptidase_S24
7622_3_71.fa_509,8,None
7001_3_4.fa_517,57,DUF955
7001_3_13.fa_534,50,DUF955
6999_5_16.fa_538,37,Peptidase_S24
6999_5_16.fa_539,9,None
6999_7_14.fa_541,48,Peptidase_S24
7553_4_41.fa_565,51,DUF955
6930_8_5.fa_611,9,None
6930_8_5.fa_612,48,Peptidase_S24
6999_1_16.fa_644,56,DUF955
6999_4_13.fa_664,4,None
6999_4_13.fa_667,5,None
6999_4_13.fa_668,8,None
6999_4_13.fa_669,4,None
6999_4_13.fa_670,3,None
6999_4_13.fa_671,3,None
6999_4_13.fa_675,8,None
6999_4_13.fa_676,20,None
6999_4_13.fa_2399,29,Peptidase_S24
6999_4_13.fa_2400,14,Peptidase_S24
6999_2_14.fa_693,60,DUF955
7553_5_73.fa_699,46,DUF955
7553_5_73.fa_700,8,None
7553_5_73.fa_2404,51,DUF955
6930_8_9.fa_708,61,DUF955
6952_7_16.fa_731,6,None
6952_7_16.fa_2408,47,DUF955
6952_7_16.fa_2410,57,Peptidase_S24
6999_3_11.fa_741,47,DUF955
6999_3_11.fa_743,4,None
6999_3_11.fa_745,4,None
6999_3_11.fa_2413,54,DUF955
7553_5_91.fa_751,24,None
7553_5_91.fa_752,8,None
7001_1_14.fa_756,7,None
6999_7_8.fa_831,37,Peptidase_S24
6999_7_8.fa_2428,10,None
7622_4_41.fa_853,42,DUF955
7622_4_41.fa_2431,52,Peptidase_S24
7622_4_41.fa_2432,9,None
7553_4_32.fa_871,8,None
7553_4_32.fa_875,24,None
6925_1_52.fa_877,9,None
6930_8_14.fa_2443,55,Peptidase_S24
7622_4_1.fa_939,10,None
7622_4_1.fa_940,49,DUF955
6952_4_22.fa_962,61,DUF955
6952_4_13.fa_1005,61,DUF955
6999_6_2.fa_1023,53,DUF955
7622_2_29.fa_1044,53,DUF955
7553_6_6.fa_1095,7,None
7622_3_91.fa_1091,52,DUF955
7622_5_72.fa_1102,8,None
7622_5_72.fa_2309,42,DUF955
6999_1_19.fa_1131,41,DUF955
6999_1_19.fa_1133,9,None
6999_6_9.fa_1151,50,DUF955
7622_2_47.fa_1176,58,DUF955
7001_2_2.fa_1183,8,None
7001_2_2.fa_1185,40,DUF955
7553_5_62.fa_1205,61,DUF955
6925_1_53.fa_2477,47,DUF955
7622_5_86.fa_1238,9,None
7622_5_86.fa_2479,50,Peptidase_S24
7553_5_87.fa_1277,36,Peptidase_S24
7553_5_87.fa_2312,8,None
7553_5_58.fa_1287,3,None
7553_5_58.fa_1289,44,None
7553_5_58.fa_1291,20,None
7553_5_58.fa_1293,8,None
7553_5_58.fa_2488,11,None
6999_3_10.fa_1294,50,DUF955
6999_3_10.fa_1295,8,None
6999_3_10.fa_1299,24,None
7001_3_21.fa_1325,10,None
7001_3_21.fa_1327,47,DUF955
6999_4_21.fa_1334,52,DUF955
7622_2_17.fa_1362,53,DUF955
6930_8_15.fa_1372,45,DUF955
6999_1_7.fa_1375,48,DUF955
7001_3_20.fa_1387,46,DUF955
7622_2_16.fa_1401,40,Peptidase_S24
7622_2_16.fa_1402,9,None
6999_6_15.fa_1406,58,DUF955
7553_4_38.fa_1411,58,Peptidase_S24
6999_7_10.fa_1423,48,Peptidase_S24
6999_7_10.fa_1430,6,None
6999_7_10.fa_1431,9,None
6999_7_10.fa_2498,40,DUF955
7622_5_61.fa_1440,8,None
6999_3_18.fa_1451,60,DUF955
6999_6_12.fa_1458,47,DUF955
7622_5_55.fa_1474,55,DUF955
6952_4_12.fa_1496,53,DUF955
7622_5_81.fa_1509,44,DUF955
7622_3_79.fa_1517,3,None
7622_3_79.fa_2508,58,Peptidase_S24
7622_3_79.fa_2509,50,DUF955
7622_4_37.fa_1521,59,Peptidase_S24
6999_7_3.fa_1549,61,DUF955
6999_3_12.fa_1553,60,DUF955
7622_4_29.fa_1558,48,Peptidase_S24
7622_4_29.fa_1560,7,None
7622_4_48.fa_1574,7,None
7622_4_48.fa_2515,49,DUF955
6999_1_18.fa_1590,24,DUF955
6999_1_18.fa_2516,71,Peptidase_S24
7622_4_15.fa_1614,9,None
7622_3_70.fa_1616,7,None
7622_3_70.fa_1617,51,Peptidase_S24
6999_3_8.fa_1649,45,Peptidase_S24
7622_5_95.fa_1658,44,DUF955
7622_5_95.fa_1659,8,None
7001_1_5.fa_1674,50,DUF955
7001_1_5.fa_1675,8,None
7001_1_5.fa_1677,24,None
7001_1_7.fa_1692,3,None
7001_1_7.fa_1695,22,DUF955
7001_1_7.fa_1696,20,None
7001_1_7.fa_1697,25,None
7001_1_7.fa_1698,3,None
7001_1_7.fa_2526,7,None
7001_1_7.fa_2527,25,Peptidase_S24
7622_2_36.fa_1725,56,DUF955
7622_4_21.fa_1737,39,DUF955
7622_4_21.fa_1740,11,None
7622_5_52.fa_1746,52,DUF955
6952_7_10.fa_1755,9,None
6952_7_10.fa_2532,36,Peptidase_S24
6999_1_3.fa_1763,57,DUF955
6952_7_13.fa_1774,51,DUF955
7622_2_22.fa_2539,45,Peptidase_S24
6952_4_11.fa_2318,44,Peptidase_S24
6930_8_23.fa_1844,40,DUF955
6930_8_23.fa_1845,9,None
7622_2_5.fa_1867,44,Peptidase_S24
6999_1_20.fa_1889,55,Peptidase_S24
7553_4_35.fa_1905,59,Peptidase_S24
6999_3_9.fa_1907,8,None
6999_3_9.fa_1909,6,None
6999_3_9.fa_1911,3,None
6999_3_9.fa_1914,10,None
6999_3_9.fa_1916,28,Peptidase_S24
6999_3_9.fa_1917,4,None
6999_3_9.fa_1920,3,None
6999_3_9.fa_2553,28,Peptidase_S24
6999_3_9.fa_2554,36,Peptidase_S24
7553_6_8.fa_1970,7,None
7553_6_8.fa_1972,6,None
7553_6_8.fa_1973,4,None
7553_6_8.fa_1974,3,None
7553_6_8.fa_1975,20,None
7553_6_8.fa_1976,3,None
7553_6_8.fa_1978,8,None
7553_6_8.fa_1979,3,None
7553_6_8.fa_1981,11,None
7553_6_8.fa_1982,3,None
7553_6_8.fa_1983,6,None
7553_6_8.fa_1984,10,None
7553_6_8.fa_2560,4,None
7553_6_8.fa_2561,30,DUF955
7553_6_8.fa_2562,5,Peptidase_S24
7622_4_2.fa_1965,38,DUF955
7622_4_2.fa_2564,9,None
7553_4_29.fa_1998,3,None
7553_4_29.fa_2000,41,DUF955
7553_4_29.fa_2567,56,Peptidase_S24
6999_1_15.fa_2573,60,Peptidase_S24
6999_4_14.fa_2041,60,DUF955
6999_1_13.fa_2046,57,DUF955
7622_5_54.fa_2052,7,None
7622_5_54.fa_2574,48,DUF955
6925_2_91.fa_2087,6,None
6925_2_91.fa_2088,50,Peptidase_S24
7622_4_35.fa_2105,45,Peptidase_S24
7622_4_40.fa_2136,8,None
7622_4_40.fa_2138,49,DUF955
7622_5_75.fa_2581,54,DUF955
7001_1_22.fa_2147,57,Peptidase_S24
